Stock_code,Accuracy,F1_score,K-Fold_accuracy,K-Fold_f1_score
A,0.7417218543046358,0.7415720112357299,0.7417218543046358,0.7415720112357299
AAL,0.7176470588235294,0.716079810831879,0.7098039215686275,0.7115467164463705
AAP,0.7196467991169978,0.7194634994956292,0.7284768211920529,0.727299448559886
AAPL,0.7196467991169978,0.7196435614757759,0.7130242825607064,0.7120664175246528
ABBV,0.7344262295081967,0.7345260955676485,0.7213114754098361,0.7204071876960587
ABC,0.6808510638297872,0.6656995486782721,0.723404255319149,0.7164035689773507
ABMD,0.7549668874172185,0.7553277571321583,0.7682119205298014,0.7687024773117489
ABT,0.7615894039735099,0.7596210114411751,0.7615894039735099,0.7596210114411751
ACN,0.7770419426048565,0.7745690084360399,0.7417218543046358,0.7348139881745898
ADBE,0.7439293598233996,0.7439507842909833,0.7306843267108167,0.7306563829192494
ADI,0.7549668874172185,0.754046379249908,0.7373068432671082,0.736672235460355
ADM,0.7682119205298014,0.7681727186306003,0.7704194260485652,0.769636053498537
ADP,0.7947019867549668,0.7913413067114758,0.7836644591611479,0.7764565913379647
ADS,0.7721238938053098,0.7720955628295599,0.7721238938053098,0.7720955628295599
ADSK,0.6754966887417219,0.6735311834508443,0.7064017660044151,0.7057335957503448
AEE,0.739514348785872,0.7360573662872065,0.7439293598233996,0.7310356578487075
AEP,0.7770419426048565,0.7744915898712178,0.7637969094922737,0.757603770439632
AES,0.7505518763796909,0.7501385702787636,0.739514348785872,0.7391387910631904
AFL,0.7853982300884956,0.7827281049740616,0.7942477876106194,0.792148096986322
AGN,0.7527593818984547,0.752803463912635,0.7328918322295805,0.7329620606176116
AIG,0.7439293598233996,0.7434793272512817,0.7439293598233996,0.7435582766416233
AIV,0.7146017699115044,0.7139028647381861,0.7079646017699115,0.705173690273505
AIZ,0.7549668874172185,0.7543991058962173,0.7549668874172185,0.7543991058962173
AJG,0.7858719646799117,0.7747397382986212,0.7637969094922737,0.7605446792710852
AKAM,0.7615894039735099,0.7618380934939727,0.7615894039735099,0.7618380934939727
ALB,0.7682119205298014,0.7684592864766647,0.7571743929359823,0.757348799978066
ALGN,0.7196467991169978,0.7205969188428725,0.7108167770419426,0.7118995410155371
ALK,0.7240618101545254,0.7217987282691108,0.7593818984547461,0.7574994585913802
ALL,0.8075221238938053,0.8048726793623101,0.7942477876106194,0.7869945308457255
ALLE,0.7403100775193798,0.7388318644210725,0.7596899224806202,0.7596292434279297
ALXN,0.7086092715231788,0.7090032614649207,0.7328918322295805,0.7308484827953761
AMAT,0.739514348785872,0.738101304324302,0.739514348785872,0.737859494754074
