"GOOGL,ADP",GOOG,0.9483870967741935,252,0.7741132378530318
"GOOGL,FB",GOOG,0.9483870967741935,252,0.7741132378530318
"CMCSA,GOOG",GOOGL,0.9444444444444444,252,0.7701705855232825
"ADBE,GOOGL",GOOG,0.9440993788819876,252,0.7698255199608257
"MA,GOOG",GOOGL,0.9423076923076923,252,0.7680338333865304
"ADBE,GOOG",GOOGL,0.9325153374233128,252,0.758241478502151
"GOOGL,CMCSA",GOOG,0.9272727272727272,252,0.7529988683515654
"GOOGL,MA",GOOG,0.9245283018867925,252,0.7502544429656306
"ADP,GOOG",GOOGL,0.91875,252,0.7444761410788381
"FB,GOOG",GOOGL,0.9130434782608695,252,0.7387696193397078
"EQR,AIV",UDR,0.8875739644970414,252,0.7133001055758796
"AIG,JPM",USB,0.8863636363636364,252,0.7120897774424746
"AIG,BBT",USB,0.8862275449101796,252,0.7119536859890179
"PNC,JPM",USB,0.88268156424581,252,0.7084077053246483
"UNM,MET",PRU,0.8771929824561403,252,0.7029191235349785
"CL,KO",PEP,0.875,252,0.7007261410788381
"JPM,PBCT",USB,0.874251497005988,252,0.6999776380848262
"LNC,MET",PRU,0.8734939759036144,252,0.6992201169824526
"PG,PEP",CL,0.872093023255814,252,0.6978191643346521
"USB,STI",PNC,0.8700564971751412,252,0.6957826382539793
"AIG,NTRS",USB,0.8698224852071006,252,0.6955486262859387
"MKC,CPB",GIS,0.8693181818181818,252,0.69504432289702
"MKC,K",GIS,0.8681318681318682,252,0.6938580092107063
"ESS,AIV",UDR,0.867816091954023,252,0.6935422330328611
"AIG,PNC",USB,0.8659217877094972,252,0.6916479287883355
"USB,STI",BBT,0.864406779661017,252,0.6901329207398552
"FITB,NTRS",BBT,0.8630952380952381,252,0.6888213791740763
"BBT,JPM",USB,0.8626373626373627,252,0.6883635037162008
"PNC,NTRS",USB,0.8620689655172413,252,0.6877951065960795
"CPB,K",GIS,0.8603351955307262,252,0.6860613366095645
"L,JPM",USB,0.8596491228070176,252,0.6853752638858557
"MTB,STI",BBT,0.8595505617977528,252,0.6852767028765909
"MTB,PBCT",PNC,0.8588235294117647,252,0.6845496704906029
"USB,BK",NTRS,0.8588235294117647,252,0.6845496704906029
"TMK,JPM",USB,0.8587570621468926,252,0.6844832032257309
"GIS,PM",MKC,0.8579881656804734,252,0.6837143067593117
"LMT,RTN",NOC,0.8579881656804734,252,0.6837143067593117
"JPM,NTRS",USB,0.8579234972677595,252,0.6836496383465978
"AVB,AIV",UDR,0.8571428571428571,252,0.6828689982216953
"KMB,KO",PEP,0.8571428571428571,252,0.6828689982216953
"USB,L",JPM,0.8546511627906976,252,0.6803773038695358
"BK,MTB",NTRS,0.8546511627906976,252,0.6803773038695358
"PNC,STI",BBT,0.8540540540540541,252,0.6797801951328923
"MTB,STI",PNC,0.8539325842696629,252,0.6796587253485011
"PG,KMB",CL,0.8538011695906432,252,0.6795273106694815
"USB,NTRS",JPM,0.8532608695652174,252,0.6789870106440556
"USB,BK",JPM,0.8529411764705882,252,0.6786673175494264
"AIG,TMK",USB,0.8529411764705882,252,0.6786673175494264
"JPM,MTB",USB,0.8524590163934426,252,0.6781851574722808
"FITB,STI",BBT,0.8516483516483516,252,0.6773744927271899
"BBT,USB",PNC,0.851063829787234,252,0.6767899708660723
"NTRS,STI",BBT,0.8505747126436781,252,0.6763008537225164
"USB,PBCT",PNC,0.8491620111731844,252,0.6748881522520225
"TMK,USB",JPM,0.8491620111731844,252,0.6748881522520225
"CL,CLX",PEP,0.847953216374269,252,0.6736793574531073
"USB,MTB",PNC,0.8478260869565217,252,0.6735522280353599
"USB,MTB",JPM,0.8478260869565217,252,0.6735522280353599
"BBT,PBCT",PNC,0.8465909090909091,252,0.6723170501697473
"JPM,STI",BBT,0.8465909090909091,252,0.6723170501697473
"PNC,NTRS",BBT,0.8448275862068966,252,0.6705537272857347
"PNC,NTRS",MTB,0.8448275862068966,252,0.6705537272857347
"CL,KMB",PEP,0.8444444444444444,252,0.6701705855232827
"PBCT,STI",PNC,0.8439306358381503,252,0.6696567769169885
"PBCT,STI",BBT,0.8439306358381503,252,0.6696567769169885
"USB,MTB",BBT,0.842391304347826,252,0.6681174454266643
"PNC,BBT",USB,0.8421052631578947,252,0.6678314042367328
"USB,DFS",PNC,0.8409090909090909,252,0.6666352319879292
"AVB,EQR",UDR,0.8409090909090909,252,0.6666352319879292
"BBT,PBCT",USB,0.8409090909090909,252,0.6666352319879292
"JPM,STI",USB,0.8409090909090909,252,0.6666352319879292
"BBT,MTB",PNC,0.839572192513369,252,0.6652983335922071
"PNC,MTB",BBT,0.839572192513369,252,0.6652983335922071
"BK,JPM",NTRS,0.8390804597701149,252,0.664806600848953
"ESS,AIV",AVB,0.8390804597701149,252,0.664806600848953
"CB,ALL",CINF,0.8388888888888889,252,0.6646150299677271
"PEP,CLX",KMB,0.8388888888888889,252,0.6646150299677271
"AVB,UDR",AIV,0.8387096774193549,252,0.6644358184981931
"FITB,HBAN",BBT,0.838150289017341,252,0.6638764300961792
"PNC,JPM",BBT,0.8379888268156425,252,0.6637149678944807
"USB,STI",JPM,0.8361581920903954,252,0.6618843331692337
"PNC,DFS",USB,0.8361581920903954,252,0.6618843331692337
"GIS,K",MKC,0.8359788359788359,252,0.6617049770576742
"BBT,NTRS",USB,0.8351648351648352,252,0.6608909762436734
"PNC,PBCT",USB,0.8351648351648352,252,0.6608909762436734
"BBT,USB",JPM,0.8351063829787234,252,0.6608325240575617
"MKC,MO",PM,0.8342857142857143,252,0.6600118553645524
