time,Real Lower Band,Real Middle Band,Real Upper Band
2019-01-03,2442.3817,2673.8267,2905.2717
2019-01-02,2451.0348,2681.1213,2911.2078
2018-12-31,2455.1418,2687.6477,2920.1535
2018-12-28,2459.1324,2694.6253,2930.1183
2018-12-27,2465.6464,2701.9202,2938.1939
2018-12-26,2472.7666,2709.1828,2945.5990
2018-12-24,2482.9975,2716.6208,2950.2441
2018-12-21,2507.1007,2726.0025,2944.9043
2018-12-20,2525.7597,2734.1583,2942.5569
2018-12-19,2539.9907,2741.6273,2943.2639
2018-12-18,2551.2618,2748.5008,2945.7399
2018-12-17,2559.4483,2754.8927,2950.3371
2018-12-14,2568.4722,2761.3062,2954.1402
2018-12-13,2574.6650,2766.4395,2958.2140
2018-12-12,2578.1135,2770.6690,2963.2245
2018-12-11,2582.2993,2774.6312,2966.9630
2018-12-10,2587.3266,2779.1012,2970.8757
2018-12-07,2592.7307,2783.5422,2974.3536
2018-12-06,2599.2132,2787.8062,2976.3991
2018-12-04,2602.2417,2791.0052,2979.7687
2018-12-03,2605.4360,2793.9563,2982.4767
2018-11-30,2605.7477,2795.3115,2984.8753
2018-11-29,2606.7688,2797.2762,2987.7835
2018-11-28,2608.5097,2799.7895,2991.0693
2018-11-27,2610.0383,2802.3383,2994.6383
2018-11-26,2614.6334,2805.9942,2997.3549
2018-11-23,2620.0692,2809.7888,2999.5084
2018-11-21,2628.6414,2814.4802,3000.3189
2018-11-20,2636.6107,2818.6067,3000.6026
2018-11-19,2645.7231,2822.8542,2999.9852
2018-11-16,2651.6986,2825.9202,3000.1417
2018-11-15,2655.1157,2827.9320,3000.7483
2018-11-14,2658.9941,2830.1257,3001.2572
2018-11-13,2664.8054,2832.8153,3000.8253
2018-11-12,2669.4423,2835.0632,3000.6841
2018-11-09,2673.9151,2837.1283,3000.3416
2018-11-08,2675.5638,2838.1230,3000.6822
2018-11-07,2675.8774,2838.3153,3000.7533
2018-11-06,2676.4361,2838.7498,3001.0635
2018-11-05,2678.9321,2839.8578,3000.7836
2018-11-02,2682.6877,2841.4407,3000.1936
2018-11-01,2687.8626,2843.6160,2999.3694
2018-10-31,2692.1231,2845.5715,2999.0199
2018-10-30,2698.5527,2848.0167,2997.4807
2018-10-29,2707.6867,2850.8128,2993.9389
2018-10-26,2721.7659,2854.1312,2986.4964
2018-10-25,2734.5031,2856.9400,2979.3769
2018-10-24,2742.2162,2858.7365,2975.2568
2018-10-23,2756.8542,2861.4063,2965.9584
2018-10-22,2761.5128,2862.4382,2963.3635
2018-10-19,2765.7560,2863.4872,2961.2184
2018-10-18,2769.8823,2864.6482,2959.4140
2018-10-17,2774.3709,2865.9363,2957.5018
2018-10-16,2774.9757,2866.1228,2957.2700
2018-10-15,2774.8028,2866.0738,2957.3449
2018-10-12,2779.0801,2866.9245,2954.7689
2018-10-11,2782.0427,2867.5472,2953.0517
2018-10-10,2790.3186,2869.0013,2947.6841
2018-10-09,2792.1778,2869.3992,2946.6205
2018-10-08,2788.7656,2868.0340,2947.3024
2018-10-05,2785.6876,2866.6487,2947.6097
2018-10-04,2782.5267,2865.1940,2947.8613
2018-10-03,2777.7354,2863.0675,2948.3996
2018-10-02,2775.3051,2860.8730,2946.4409
2018-10-01,2772.3450,2858.5520,2944.7590
2018-09-28,2767.7115,2855.8058,2943.9002
2018-09-27,2760.9409,2852.8497,2944.7584
2018-09-26,2752.2773,2849.5033,2946.7293
2018-09-25,2745.4719,2846.5157,2947.5594
2018-09-24,2738.6176,2843.2292,2947.8407
2018-09-21,2732.2104,2839.8448,2947.4792
2018-09-20,2725.1093,2836.0108,2946.9124
2018-09-19,2720.7308,2832.5493,2944.3678
2018-09-18,2715.4693,2829.3680,2943.2667
2018-09-17,2713.1077,2826.8775,2940.6473
2018-09-14,2710.2669,2824.5602,2938.8534
2018-09-13,2709.0000,2822.2658,2935.5317
2018-09-12,2707.6698,2819.9060,2932.1422
2018-09-11,2706.6010,2817.9865,2929.3720
2018-09-10,2705.8837,2816.1827,2926.4817
2018-09-07,2705.1340,2814.6053,2924.0766
2018-09-06,2704.1109,2813.0045,2921.8981
2018-09-05,2703.7250,2811.4845,2919.2441
2018-09-04,2703.5900,2809.7078,2915.8257
2018-08-31,2703.8059,2807.7463,2911.6867
2018-08-30,2704.1140,2805.5605,2907.0070
2018-08-29,2704.7349,2803.4142,2902.0934
2018-08-28,2705.3175,2800.6602,2896.0029
2018-08-27,2705.2384,2798.1493,2891.0603
2018-08-24,2704.7594,2795.4474,2886.1353
2018-08-23,2701.4320,2792.6237,2883.8153
2018-08-22,2699.1167,2790.4075,2881.6983
2018-08-21,2694.6160,2787.5415,2880.4671
2018-08-20,2692.8450,2785.1810,2877.5170
2018-08-17,2691.4684,2783.0262,2874.5840
2018-08-16,2690.3464,2781.0789,2871.8113
2018-08-15,2688.6188,2779.1414,2869.6639
2018-08-14,2687.0241,2777.7187,2868.4133
2018-08-13,2684.8893,2775.6022,2866.3151
2018-08-10,2682.9145,2773.9055,2864.8966
2018-08-09,2681.4652,2772.0585,2862.6518
2018-08-08,2680.3222,2769.6897,2859.0572
2018-08-07,2680.6359,2767.5635,2854.4911
2018-08-06,2681.1673,2765.3847,2849.6020
2018-08-03,2681.3353,2763.2625,2845.1898
2018-08-02,2679.7748,2760.8865,2841.9982
2018-08-01,2675.9171,2758.2982,2840.6792
2018-07-31,2671.9778,2755.9527,2839.9276
2018-07-30,2667.6498,2753.4048,2839.1599
2018-07-27,2660.0854,2750.5237,2840.9619
2018-07-26,2654.1423,2747.4712,2840.8000
2018-07-25,2651.1206,2744.4272,2837.7337
2018-07-24,2648.4283,2741.1268,2833.8254
2018-07-23,2646.4935,2738.6187,2830.7438
2018-07-20,2644.1097,2736.2847,2828.4596
2018-07-19,2639.7358,2733.5775,2827.4192
2018-07-18,2635.3903,2730.7453,2826.1003
2018-07-17,2634.3417,2728.3232,2822.3046
2018-07-16,2633.2810,2725.9997,2818.7184
2018-07-13,2633.1035,2724.2447,2815.3859
2018-07-12,2633.7200,2722.7002,2811.6804
2018-07-11,2634.3071,2721.1685,2808.0299
2018-07-10,2633.1157,2719.5655,2806.0153
2018-07-09,2631.5317,2717.2732,2803.0146
2018-07-06,2630.2615,2715.2702,2800.2789
2018-07-05,2627.0842,2713.3097,2799.5352
2018-07-03,2624.7801,2711.9807,2799.1812
2018-07-02,2619.5179,2710.3130,2801.1081
2018-06-29,2613.6391,2708.2757,2802.9122
2018-06-28,2612.0429,2707.3502,2802.6574
2018-06-27,2609.5429,2706.1565,2802.7701
2018-06-26,2605.3188,2704.7368,2804.1549
2018-06-25,2598.2412,2702.3838,2806.5264
2018-06-22,2595.8660,2701.1138,2806.3617
2018-06-21,2591.4931,2698.6158,2805.7386
2018-06-20,2587.8266,2696.3302,2804.8337
2018-06-19,2587.1904,2694.5173,2801.8442
2018-06-18,2582.3915,2691.6118,2800.8322
2018-06-15,2581.6777,2689.4442,2797.2106
2018-06-14,2582.9606,2688.3153,2793.6701
2018-06-13,2584.4696,2687.2228,2789.9760
2018-06-12,2585.7943,2686.1777,2786.5610
2018-06-11,2587.1656,2685.5970,2784.0283
2018-06-08,2588.4692,2685.0192,2781.5691
2018-06-07,2589.6123,2684.5267,2779.4410
2018-06-06,2589.8247,2684.4423,2779.0599
2018-06-05,2589.3048,2684.6202,2779.9355
2018-06-04,2587.7727,2685.2497,2782.7266
2018-06-01,2587.9535,2685.1180,2782.2825
2018-05-31,2588.0685,2684.9877,2781.9068
2018-05-30,2587.9552,2685.3685,2782.7818
2018-05-29,2587.9821,2685.3173,2782.6526
2018-05-25,2588.0003,2685.3405,2782.6807
2018-05-24,2587.7078,2684.6128,2781.5178
2018-05-23,2587.8242,2684.3807,2780.9371
2018-05-22,2587.5961,2684.5638,2781.5316
2018-05-21,2586.0071,2685.4832,2784.9592
2018-05-18,2585.7242,2685.7213,2785.7184
2018-05-17,2585.7112,2685.5712,2785.4311
2018-05-16,2585.7161,2685.2578,2784.7995
2018-05-15,2585.7547,2685.1545,2784.5543
2018-05-14,2585.5936,2685.5007,2785.4077
2018-05-11,2585.5792,2685.5185,2785.4578
2018-05-10,2585.6372,2685.0337,2784.4301
2018-05-09,2584.9773,2684.0315,2783.0856
2018-05-08,2584.0901,2683.3350,2782.5799
2018-05-07,2581.9184,2682.4622,2783.0059
