time,SlowD,SlowK
2019-11-26,63.8835,82.4773
2019-11-25,55.8343,61.7148
2019-11-22,61.5728,47.4584
2019-11-21,76.8655,58.3296
2019-11-20,87.9427,78.9305
2019-11-19,89.3968,93.3364
2019-11-18,82.7900,91.5611
2019-11-15,75.3138,83.2928
2019-11-14,72.2392,73.5162
2019-11-13,72.7092,69.1324
2019-11-12,76.8819,74.0691
2019-11-11,79.1479,74.9261
2019-11-08,82.8597,81.6505
2019-11-07,85.8286,80.8671
2019-11-06,88.0612,86.0616
2019-11-05,89.0593,90.5572
2019-11-04,86.4157,87.5649
2019-11-01,86.6834,89.0558
2019-10-31,85.7125,82.6266
2019-10-30,87.4227,88.3678
2019-10-29,85.2798,86.1431
2019-10-28,79.9690,87.7571
2019-10-25,75.2325,81.9393
2019-10-24,69.9416,70.2108
2019-10-23,71.4227,73.5474
2019-10-22,70.5420,66.0666
2019-10-21,76.6863,74.6540
2019-10-18,79.5057,70.9054
2019-10-17,82.7863,84.4996
2019-10-16,78.8357,83.1122
2019-10-15,74.0247,80.7471
2019-10-14,65.4048,72.6478
2019-10-11,58.6939,68.6790
2019-10-10,54.3284,54.8877
2019-10-09,55.0359,52.5149
2019-10-08,50.9928,55.5828
2019-10-07,38.4320,57.0100
2019-10-04,26.4995,40.3855
2019-10-03,21.8035,17.9005
2019-10-02,28.6143,21.2126
2019-10-01,33.9131,26.2974
2019-09-30,36.1577,38.3329
2019-09-27,33.4391,37.1090
2019-09-26,29.4382,33.0312
2019-09-25,32.4843,30.1771
2019-09-24,40.5211,25.1063
2019-09-23,54.2261,42.1695
2019-09-20,62.1615,54.2874
2019-09-19,67.4214,66.2215
2019-09-18,70.4343,65.9755
2019-09-17,77.5008,70.0672
2019-09-16,83.8800,75.2602
2019-09-13,89.2231,87.1750
2019-09-12,89.7495,89.2048
2019-09-11,90.0849,91.2895
2019-09-10,90.6410,88.7542
2019-09-09,88.5435,90.2110
2019-09-06,85.3494,92.9578
2019-09-05,80.8882,82.4618
2019-09-04,78.8114,80.6287
2019-09-03,71.6598,79.5740
2019-08-30,59.0702,76.2314
2019-08-29,43.2372,59.1740
2019-08-28,38.1413,41.8050
2019-08-27,44.6213,28.7324
2019-08-26,62.0628,43.8864
2019-08-23,75.0095,61.2450
2019-08-22,77.7091,81.0570
2019-08-21,67.9887,82.7264
2019-08-20,48.5581,69.3440
2019-08-19,37.1357,51.8958
2019-08-16,35.0491,24.4344
2019-08-15,51.2120,35.0770
2019-08-14,64.7653,45.6360
2019-08-13,72.7855,72.9230
2019-08-12,65.9053,75.7369
2019-08-09,48.9305,69.6964
2019-08-08,32.1671,52.2827
2019-08-07,18.9328,24.8123
2019-08-06,17.1130,19.4063
2019-08-05,21.1411,12.5798
2019-08-02,35.4615,19.3529
2019-08-01,54.6316,31.4907
2019-07-31,70.9882,55.5408
2019-07-30,81.2969,76.8634
2019-07-29,84.7712,80.5605
2019-07-26,83.1112,86.4666
2019-07-25,69.2532,87.2865
2019-07-24,49.6688,75.5803
2019-07-23,30.8787,44.8929
2019-07-22,27.9463,28.5333
2019-07-19,35.3904,19.2101
2019-07-18,56.9641,36.0955
2019-07-17,76.6545,50.8657
2019-07-16,89.3521,83.9312
2019-07-15,86.5491,95.1667
2019-07-12,75.7971,88.9585
2019-07-11,68.9958,75.5220
2019-07-10,71.1824,62.9106
2019-07-09,81.7975,68.5549
2019-07-08,89.1077,82.0818
2019-07-05,88.4244,94.7559
2019-07-03,75.8381,90.4853
2019-07-02,56.0628,80.0321
2019-07-01,33.4020,56.9971
2019-06-28,23.3817,31.1592
2019-06-27,30.9343,12.0497
2019-06-26,54.1641,26.9362
2019-06-25,74.8642,53.8169
2019-06-24,86.0011,81.7393
2019-06-21,81.9045,89.0363
2019-06-20,69.1939,87.2276
2019-06-19,56.0178,69.4497
2019-06-18,51.3653,50.9043
2019-06-17,57.6807,47.6995
2019-06-14,67.3046,55.4921
2019-06-13,77.3816,69.8506
2019-06-12,84.4176,76.5712
2019-06-11,90.4963,85.7229
2019-06-10,94.1727,90.9588
2019-06-07,87.3244,94.8071
2019-06-06,68.3982,96.7522
2019-06-05,41.2559,70.4140
2019-06-04,23.2329,38.0283
2019-06-03,15.9504,15.3253
2019-05-31,16.4769,16.3450
2019-05-30,17.0945,16.1810
2019-05-29,22.1936,16.9047
2019-05-28,30.5507,18.1978
2019-05-24,39.7758,31.4784
2019-05-23,47.1294,41.9758
2019-05-22,53.0516,45.8733
2019-05-21,60.1718,53.5393
2019-05-20,61.4168,59.7423
2019-05-17,52.4613,67.2337
2019-05-16,40.4457,57.2744
2019-05-15,31.3752,32.8758
2019-05-14,31.5905,31.1869
2019-05-13,29.4125,30.0631
2019-05-10,30.9949,33.5214
2019-05-09,38.5845,24.6530
2019-05-08,50.0526,34.8104
2019-05-07,54.2580,56.2901
2019-05-06,51.9446,59.0572
2019-05-03,54.5346,47.4266
2019-05-02,69.1821,49.3502
2019-05-01,81.6699,66.8271
2019-04-30,87.7222,91.3690
2019-04-29,84.9358,86.8136
2019-04-26,82.0342,84.9839
2019-04-25,76.5901,83.0098
2019-04-24,67.0470,78.1088
2019-04-23,60.6996,68.6518
2019-04-22,61.5449,54.3804
2019-04-18,71.6279,59.0666
2019-04-17,79.1088,71.1878
2019-04-16,81.0452,84.6293
2019-04-15,73.0283,81.5091
2019-04-12,69.7457,76.9972
2019-04-11,70.8276,60.5788
2019-04-10,82.8034,71.6612
2019-04-09,89.6164,80.2427
2019-04-08,92.9551,96.5064
2019-04-05,91.5582,92.1001
2019-04-04,92.7975,90.2588
2019-04-03,89.8060,92.3157
2019-04-02,78.3217,95.8180
2019-04-01,59.8488,81.2844
2019-03-29,42.6609,57.8626
2019-03-28,30.3216,40.3995
2019-03-27,28.7611,29.7207
2019-03-26,33.5051,20.8447
2019-03-25,48.0844,35.7179
2019-03-22,58.3606,43.9526
2019-03-21,71.1866,64.5827
2019-03-20,79.8933,66.5466
2019-03-19,87.3505,82.4306
2019-03-18,89.6223,90.7026
2019-03-15,88.6008,88.9181
2019-03-14,80.6645,89.2461
2019-03-13,63.9068,87.6384
2019-03-12,39.3978,65.1092
2019-03-11,24.9199,38.9728
2019-03-08,23.4262,14.1115
2019-03-07,37.6364,21.6755
2019-03-06,47.0725,34.4915
2019-03-05,52.8773,56.7423
2019-03-04,49.6562,49.9835
2019-03-01,53.1421,51.9061
2019-02-28,60.2793,47.0790
2019-02-27,70.6315,60.4413
2019-02-26,79.4941,73.3177
2019-02-25,83.2655,78.1355
2019-02-22,88.2635,87.0291
2019-02-21,89.0399,84.6320
2019-02-20,90.6903,93.1294
2019-02-19,88.9381,89.3583
2019-02-15,85.0081,89.5831
2019-02-14,76.1814,87.8729
2019-02-13,61.4297,77.5684
2019-02-12,54.4287,63.1030
2019-02-11,58.1391,43.6178
2019-02-08,75.4047,56.5653
2019-02-07,88.4964,74.2341
2019-02-06,95.2205,95.4148
2019-02-05,93.3269,95.8403
2019-02-04,86.4623,94.4066
2019-02-01,75.3845,89.7339
2019-01-31,65.5353,75.2464
2019-01-30,61.2318,61.1730
2019-01-29,61.0338,60.1863
2019-01-28,57.8312,62.3361
2019-01-25,58.7367,60.5788
2019-01-24,64.7851,50.5786
2019-01-23,77.7171,65.0525
2019-01-22,85.7229,78.7241
2019-01-18,87.1635,89.3746
2019-01-17,86.5012,89.0700
2019-01-16,86.4393,83.0459
2019-01-15,90.9873,87.3878
2019-01-14,93.8822,88.8841
2019-01-11,94.8870,96.6901
2019-01-10,93.3266,96.0725
2019-01-09,85.8402,91.8984
2019-01-08,80.5877,92.0087
2019-01-07,75.1637,73.6135
2019-01-04,80.2368,76.1409
2019-01-03,83.7050,75.7367
2019-01-02,82.6930,88.8326
2018-12-31,68.4135,86.5455
2018-12-28,45.6683,72.7008
2018-12-27,23.4040,45.9942
2018-12-26,11.1455,18.3100
2018-12-24,8.8866,5.9080
2018-12-21,10.3626,9.2187
2018-12-20,11.4490,11.5331
2018-12-19,16.4952,10.3359
2018-12-18,26.8511,12.4780
2018-12-17,37.6108,26.6717
2018-12-14,40.4616,41.4037
2018-12-13,33.1048,44.7570
2018-12-12,26.3234,35.2242
2018-12-11,21.4335,19.3333
2018-12-10,31.4778,24.4128
2018-12-07,46.2404,20.5543
2018-12-06,70.4510,49.4663
2018-12-04,85.7589,68.7006
2018-12-03,94.6488,93.1859
2018-11-30,90.3218,95.3902
2018-11-29,74.3108,95.3702
2018-11-28,49.0483,80.2050
2018-11-27,25.2292,47.3573
2018-11-26,14.8657,19.5828
2018-11-23,18.9027,8.7477
2018-11-21,30.9071,16.2668
2018-11-20,39.1210,31.6938
2018-11-19,36.0736,44.7607
2018-11-16,23.8189,40.9084
2018-11-15,18.6937,22.5517
2018-11-14,29.1939,7.9965
2018-11-13,55.0316,25.5328
2018-11-12,78.6561,54.0525
2018-11-09,91.9078,85.5096
2018-11-08,92.3640,96.4062
2018-11-07,89.3534,93.8077
2018-11-06,86.7990,86.8780
2018-11-05,84.1951,87.3744
2018-11-02,73.2116,86.1444
2018-11-01,55.8589,79.0665
2018-10-31,38.6342,54.4240
2018-10-30,27.1347,34.0861
2018-10-29,24.5256,27.3924
2018-10-26,21.1519,19.9256
2018-10-25,23.0314,26.2589
2018-10-24,23.4345,17.2712
2018-10-23,36.0449,25.5642
2018-10-22,49.5785,27.4682
2018-10-19,59.9100,55.1024
2018-10-18,54.1390,66.1649
2018-10-17,38.9219,58.4626
2018-10-16,23.9116,37.7897
2018-10-15,14.9876,20.5135
2018-10-12,14.0185,13.4316
2018-10-11,17.9058,11.0177
2018-10-10,23.5030,17.6063
2018-10-09,29.8951,25.0935
2018-10-08,37.8560,27.8091
2018-10-05,48.4074,36.7826
2018-10-04,54.0496,48.9762
2018-10-03,52.1648,59.4634
2018-10-02,40.5691,53.7092
2018-10-01,30.1426,43.3217
2018-09-28,26.3833,24.6763
2018-09-27,36.8749,22.4297
2018-09-26,54.7843,32.0438
2018-09-25,72.3598,56.1511
2018-09-24,81.7965,76.1579
2018-09-21,80.2711,84.7704
2018-09-20,76.8567,84.4612
2018-09-19,75.2571,71.5817
2018-09-18,81.0837,74.5271
2018-09-17,84.4832,79.6625
2018-09-14,79.7408,89.0614
2018-09-13,64.8301,84.7256
2018-09-12,45.2342,65.4353
2018-09-11,31.3387,44.3295
2018-09-10,26.5930,25.9379
2018-09-07,31.2098,23.7486
2018-09-06,41.2347,30.0926
2018-09-05,55.7134,39.7882
2018-09-04,70.7965,53.8233
2018-08-31,83.9756,73.5286
2018-08-30,90.3843,85.0375
2018-08-29,89.7819,93.3607
2018-08-28,83.7508,92.7548
2018-08-27,76.9480,83.2301
2018-08-24,77.3655,75.2674
2018-08-23,82.3208,72.3466
2018-08-22,87.5943,84.4824
2018-08-21,81.1784,90.1334
2018-08-20,68.1552,88.1671
2018-08-17,47.4678,65.2348
2018-08-16,33.6895,51.0636
2018-08-15,27.4737,26.1050
2018-08-14,39.2165,23.9000
2018-08-13,59.7744,32.4162
2018-08-10,79.9648,61.3335
2018-08-09,91.4575,85.5737
2018-08-08,91.9105,92.9872
2018-08-07,82.9153,95.8115
2018-08-06,65.9216,86.9327
2018-08-03,45.5602,66.0018
2018-08-02,33.5801,44.8304
2018-08-01,33.4971,25.8483
2018-07-31,49.4414,30.0617
2018-07-30,67.0601,44.5813
2018-07-27,78.1151,73.6813
2018-07-26,73.8538,82.9178
2018-07-25,64.6174,77.7461
2018-07-24,60.6939,60.8976
2018-07-23,67.2272,55.2084
2018-07-20,78.6033,65.9758
2018-07-19,85.6911,80.4975
2018-07-18,88.9685,89.3364
2018-07-17,88.2963,87.2395
2018-07-16,89.1525,90.3297
2018-07-13,89.0737,87.3197
2018-07-12,92.2301,89.8081
2018-07-11,93.3450,90.0932
2018-07-10,87.6761,96.7890
2018-07-09,76.5741,93.1526
2018-07-06,62.4322,73.0867
2018-07-05,54.3625,63.4830
2018-07-03,42.5143,50.7270
2018-07-02,33.0570,48.8775
2018-06-29,23.1558,27.9383
2018-06-28,24.1678,22.3551
2018-06-27,25.3265,19.1740
2018-06-26,30.7073,30.9744
2018-06-25,32.5348,25.8312
