time,SMA
2020-03-20,2810.5210
2020-03-19,2862.2945
2020-03-18,2910.4865
2020-03-17,2959.8890
2020-03-16,3001.9440
2020-03-13,3051.6455
2020-03-12,3084.7915
2020-03-11,3129.7320
2020-03-10,3160.5505
2020-03-09,3184.0435
2020-03-06,3213.1010
2020-03-05,3231.7715
2020-03-04,3247.3090
2020-03-03,3255.6825
2020-03-02,3267.9600
2020-02-28,3274.7245
2020-02-27,3291.1965
2020-02-26,3305.9285
2020-02-25,3313.9210
2020-02-24,3319.6920
2020-02-21,3323.1710
2020-02-20,3322.5605
2020-02-19,3319.9865
2020-02-18,3316.7185
2020-02-14,3314.6850
2020-02-13,3311.5175
2020-02-12,3307.2850
2020-02-11,3302.4700
2020-02-10,3298.9890
2020-02-07,3294.6520
2020-02-06,3292.0015
2020-02-05,3287.3650
2020-02-04,3282.4895
2020-02-03,3279.9240
2020-01-31,3279.2205
2020-01-30,3280.8370
2020-01-29,3278.1930
2020-01-28,3275.5875
2020-01-27,3273.7765
2020-01-24,3273.5905
2020-01-23,3269.9860
2020-01-22,3264.9095
2020-01-21,3259.8830
2020-01-17,3254.1120
2020-01-16,3247.1880
2020-01-15,3240.9735
2020-01-14,3236.0815
2020-01-13,3230.3640
2020-01-10,3224.3860
2020-01-09,3218.2000
2020-01-08,3211.0910
2020-01-07,3205.2365
2020-01-06,3200.6730
2020-01-03,3194.2305
2020-01-02,3188.1260
2019-12-31,3179.8935
2019-12-30,3174.0480
2019-12-27,3170.0325
2019-12-26,3165.7130
2019-12-24,3160.7435
2019-12-23,3156.2565
2019-12-20,3150.5705
2019-12-19,3144.6865
2019-12-18,3139.8410
2019-12-17,3136.2930
2019-12-16,3132.7685
2019-12-13,3129.2190
2019-12-12,3125.6105
2019-12-11,3121.8840
2019-12-10,3119.3945
2019-12-09,3117.1190
2019-12-06,3114.9750
2019-12-05,3111.9385
2019-12-04,3109.9060
2019-12-03,3107.9990
2019-12-02,3107.2525
2019-11-29,3104.9045
2019-11-27,3099.7335
2019-11-26,3094.3905
