Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,162.52,161.3,162.66,160.63,1350000.0,0.0,SYK
2018-01-23,161.94,162.58,163.65,161.74,1100000.0,-0.0036,SYK
2018-01-24,164.49,162.84,164.98,162.63,1330000.0,0.015700000000000002,SYK
2018-01-25,165.55,165.16,165.71,164.23,1010000.0,0.0064,SYK
2018-01-26,168.91,165.65,169.01,165.29,1310000.0,0.0203,SYK
2018-01-29,168.75,168.78,170.0,168.3,1560000.0,-0.0009,SYK
2018-01-30,168.45,167.48,168.63,166.31,2170000.0,-0.0018,SYK
2018-01-31,164.38,168.11,168.11,163.45,2850000.0,-0.0242,SYK
2018-02-01,164.78,163.85,165.27,163.29,1500000.0,0.0024,SYK
2018-02-02,162.25,163.81,164.54,162.04,1240000.0,-0.0154,SYK
2018-02-05,154.4,161.45,162.67,152.01,2580000.0,-0.0484,SYK
2018-02-06,154.14,150.71,155.43,150.33,2750000.0,-0.0017000000000000001,SYK
2018-02-07,153.67,153.6,156.76,153.27,1610000.0,-0.003,SYK
2018-02-08,148.01,153.67,154.36,147.92,1650000.0,-0.0368,SYK
2018-02-09,151.22,149.27,152.48,146.8,1550000.0,0.0217,SYK
2018-02-12,153.66,152.5,154.77,152.02,1570000.0,0.0161,SYK
2018-02-13,154.56,152.61,155.01,152.3,950040.0,0.0059,SYK
2018-02-14,156.24,153.7,156.78,153.33,1790000.0,0.0109,SYK
2018-02-15,158.54,157.41,158.59,156.13,1160000.0,0.0147,SYK
2018-02-16,159.87,158.23,161.31,158.18,1070000.0,0.0084,SYK
2018-02-20,158.74,159.14,159.92,157.77,1120000.0,-0.0070999999999999995,SYK
2018-02-21,157.88,158.79,160.71,157.77,1430000.0,-0.0054,SYK
2018-02-22,158.96,158.84,160.53,158.18,811520.0,0.0068000000000000005,SYK
2018-02-23,161.7,159.64,161.75,158.89,983060.0,0.0172,SYK
2018-02-26,165.77,163.15,165.97,162.95,1790000.0,0.0252,SYK
2018-02-27,164.12,166.09,166.76,164.12,1200000.0,-0.01,SYK
2018-02-28,162.16,165.17,165.87,162.1,1360000.0,-0.011899999999999999,SYK
2018-03-01,159.29,161.82,162.09,158.21,1350000.0,-0.0177,SYK
2018-03-02,160.8,158.3,161.23,158.3,1110000.0,0.0095,SYK
2018-03-05,162.54,160.0,163.21,159.88,903000.0,0.0108,SYK
2018-03-06,162.73,163.25,163.41,161.74,878450.0,0.0012,SYK
2018-03-07,162.99,161.24,163.65,161.11,1100000.0,0.0016,SYK
2018-03-08,163.35,163.44,164.62,162.66,1250000.0,0.0022,SYK
2018-03-09,166.41,164.36,167.62,163.84,1680000.0,0.0187,SYK
2018-03-12,167.89,166.31,168.41,165.82,1580000.0,0.0089,SYK
2018-03-13,167.11,168.92,168.92,166.66,1300000.0,-0.0046,SYK
2018-03-14,166.38,167.75,168.38,165.84,736730.0,-0.0044,SYK
2018-03-15,166.45,166.84,167.03,165.83,898430.0,0.0004,SYK
2018-03-16,167.51,166.54,168.3,165.92,2049999.9999999998,0.0064,SYK
2018-03-19,166.03,167.24,167.75,164.64,1160000.0,-0.0088,SYK
2018-03-20,166.51,166.56,167.37,165.37,856650.0,0.0029,SYK
2018-03-21,164.73,166.82,166.97,164.56,907320.0,-0.010700000000000001,SYK
2018-03-22,160.81,163.6,164.04,160.53,980240.0,-0.023799999999999998,SYK
2018-03-23,157.57,160.49,161.25,157.44,1230000.0,-0.020099999999999996,SYK
2018-03-26,160.4,159.74,160.4,158.01,1340000.0,0.018000000000000002,SYK
2018-03-27,158.54,160.95,161.99,157.58,961800.0,-0.0116,SYK
2018-03-28,157.97,158.45,159.51,157.32,822100.0,-0.0036,SYK
2018-03-29,160.92,158.94,162.36,158.28,1580000.0,0.0187,SYK
2018-04-02,156.25,160.92,161.36,154.51,1240000.0,-0.028999999999999998,SYK
2018-04-03,159.09,156.54,159.19,155.12,1450000.0,0.0182,SYK
2018-04-04,158.83,156.5,159.4,156.16,1020000.0,-0.0016,SYK
2018-04-05,160.07,160.01,161.05,158.73,773500.0,0.0078000000000000005,SYK
2018-04-06,155.17,159.19,159.88,153.76,929540.0,-0.030600000000000002,SYK
2018-04-09,157.05,156.44,159.08,155.59,1130000.0,0.0121,SYK
2018-04-10,160.38,158.56,161.15,158.24,1220000.0,0.0212,SYK
2018-04-11,157.85,158.73,159.85,157.4,942610.0,-0.0158,SYK
2018-04-12,158.56,159.12,159.84,158.06,1040000.0,0.0045000000000000005,SYK
2018-04-13,158.35,159.83,160.08,157.36,818910.0,-0.0013,SYK
2018-04-16,162.06,160.3,162.63,159.6,1100000.0,0.023399999999999997,SYK
2018-04-17,163.65,162.93,164.15,160.92,1090000.0,0.0098,SYK
2018-04-18,164.71,163.89,165.32,163.19,1430000.0,0.006500000000000001,SYK
2018-04-19,163.55,164.2,164.66,162.47,1200000.0,-0.006999999999999999,SYK
2018-04-20,164.25,163.84,165.2,163.36,2040000.0,0.0043,SYK
2018-04-23,166.78,164.82,167.78,164.67,1720000.0,0.0154,SYK
2018-04-24,164.71,167.1,167.67,163.4,1280000.0,-0.0124,SYK
2018-04-25,165.38,163.99,165.68,162.59,1000000.0,0.0040999999999999995,SYK
2018-04-26,168.11,165.96,168.35,164.78,1250000.0,0.0165,SYK
2018-04-27,170.67,170.22,171.35,166.5,1830000.0,0.0152,SYK
2018-04-30,169.42,171.63,172.99,169.42,2069999.9999999998,-0.0073,SYK
2018-05-01,168.94,169.32,169.97,167.51,1710000.0,-0.0028000000000000004,SYK
2018-05-02,167.03,168.26,168.8,166.51,1350000.0,-0.0113,SYK
2018-05-03,166.81,166.58,167.38,163.91,1180000.0,-0.0013,SYK
2018-05-04,168.0,165.89,168.36,164.29,904140.0,0.0070999999999999995,SYK
2018-05-07,167.48,168.3,169.32,166.99,1340000.0,-0.0031,SYK
2018-05-08,166.62,166.97,167.35,165.46,1200000.0,-0.0051,SYK
2018-05-09,167.39,167.16,168.06,165.01,989790.0,0.0046,SYK
2018-05-10,168.97,167.73,169.39,167.05,657010.0,0.009399999999999999,SYK
2018-05-11,169.48,168.8,169.89,168.72,611500.0,0.003,SYK
2018-05-14,169.15,169.52,169.84,168.27,1360000.0,-0.0019,SYK
2018-05-15,168.22,167.92,168.71,167.28,1100000.0,-0.0055000000000000005,SYK
2018-05-16,171.76,168.5,172.73,167.92,1580000.0,0.021,SYK
2018-05-17,171.26,171.43,171.99,170.19,759260.0,-0.0029,SYK
2018-05-18,172.81,170.98,173.47,170.98,1040000.0,0.0091,SYK
2018-05-21,173.74,173.85,174.44,172.54,731550.0,0.0054,SYK
2018-05-22,172.9,173.86,174.1,172.76,671880.0,-0.0048,SYK
2018-05-23,175.42,172.35,175.52,172.3,950260.0,0.0146,SYK
2018-05-24,175.04,175.03,176.76,174.25,1030000.0,-0.0022,SYK
2018-05-25,173.78,174.81,175.51,173.39,943910.0,-0.0072,SYK
2018-05-29,172.34,172.61,173.71,171.24,1060000.0,-0.0083,SYK
2018-05-30,175.07,173.11,175.99,173.06,734410.0,0.0158,SYK
2018-05-31,174.02,175.5,176.09,173.92,978760.0,-0.006,SYK
2018-06-01,175.46,175.19,175.94,174.03,714230.0,0.0083,SYK
2018-06-04,176.37,175.73,177.0,174.31,827390.0,0.0052,SYK
2018-06-05,177.22,177.43,177.7,176.02,1110000.0,0.0048,SYK
2018-06-06,179.78,177.43,179.84,176.38,922100.0,0.0144,SYK
2018-06-07,178.15,179.84,179.84,176.88,833670.0,-0.0091,SYK
2018-06-08,178.95,178.2,179.15,177.21,962080.0,0.0045000000000000005,SYK
2018-06-11,169.78,178.97,179.6,169.1,4440000.0,-0.0512,SYK
2018-06-12,162.54,169.39,169.39,162.29,7040000.0,-0.0426,SYK
2018-06-13,166.6,173.23,173.31,166.0,6770000.0,0.025,SYK
2018-06-14,168.75,168.3,169.6,167.5,2150000.0,0.0129,SYK
2018-06-15,168.38,169.24,169.95,167.74,3370000.0,-0.0022,SYK
2018-06-18,170.25,167.22,170.71,166.97,1860000.0,0.0111,SYK
2018-06-19,169.73,169.1,170.12,168.46,1480000.0,-0.0031,SYK
2018-06-20,169.54,170.26,171.07,169.47,1500000.0,-0.0011,SYK
2018-06-21,169.81,169.69,170.16,168.12,1470000.0,0.0016,SYK
2018-06-22,172.0,170.41,173.68,170.0,1630000.0,0.0129,SYK
2018-06-25,170.28,171.19,171.67,168.65,1220000.0,-0.01,SYK
2018-06-26,172.25,170.36,172.74,170.05,1210000.0,0.0116,SYK
2018-06-27,169.16,171.72,172.89,168.98,1590000.0,-0.0179,SYK
2018-06-28,168.97,168.58,169.52,167.55,1430000.0,-0.0011,SYK
2018-06-29,168.86,169.74,171.07,168.78,1040000.0,-0.0007000000000000001,SYK
2018-07-02,169.96,167.56,170.04,166.69,1080000.0,0.006500000000000001,SYK
2018-07-03,169.79,169.96,170.75,169.23,436860.0,-0.001,SYK
2018-07-05,171.33,171.02,171.65,169.53,750900.0,0.0091,SYK
2018-07-06,173.11,171.88,173.66,170.98,854970.0,0.0104,SYK
2018-07-09,173.61,173.43,174.52,172.48,556800.0,0.0029,SYK
2018-07-10,174.38,174.18,174.87,173.8,656820.0,0.0044,SYK
2018-07-11,173.42,173.52,174.63,172.81,634810.0,-0.0055000000000000005,SYK
2018-07-12,174.33,174.28,174.71,173.06,620160.0,0.0052,SYK
2018-07-13,174.3,174.52,174.66,173.67,536680.0,-0.0002,SYK
2018-07-16,173.42,174.18,174.24,172.88,792340.0,-0.005,SYK
2018-07-17,176.11,173.66,176.63,173.46,944360.0,0.0155,SYK
2018-07-18,173.74,176.09,177.37,173.59,933010.0,-0.013500000000000002,SYK
2018-07-19,172.86,173.22,173.71,172.23,1020000.0,-0.0051,SYK
2018-07-20,174.3,172.42,175.24,172.42,889880.0,0.0083,SYK
2018-07-23,174.68,173.81,174.88,172.81,950250.0,0.0022,SYK
2018-07-24,172.92,175.4,175.86,172.86,1290000.0,-0.0101,SYK
2018-07-25,169.98,168.5,170.74,166.07,2780000.0,-0.017,SYK
2018-07-26,171.39,170.24,171.94,169.0,1560000.0,0.0083,SYK
2018-07-27,169.04,171.46,171.96,167.41,1180000.0,-0.0137,SYK
2018-07-30,164.99,168.74,168.75,164.67,1800000.0,-0.024,SYK
2018-07-31,163.25,165.84,166.47,163.16,2550000.0,-0.0105,SYK
2018-08-01,165.0,163.38,165.53,163.38,1980000.0,0.010700000000000001,SYK
2018-08-02,166.45,164.56,166.61,164.33,1410000.0,0.0088,SYK
2018-08-03,165.3,167.02,167.02,164.71,1070000.0,-0.0069,SYK
2018-08-06,166.13,165.21,166.35,164.3,1230000.0,0.005,SYK
2018-08-07,165.18,166.13,166.6,164.44,1130000.0,-0.005699999999999999,SYK
2018-08-08,166.16,165.5,166.57,164.67,903320.0,0.0059,SYK
2018-08-09,167.01,166.59,168.18,166.15,805410.0,0.0051,SYK
2018-08-10,165.88,166.42,167.14,165.38,764320.0,-0.0068000000000000005,SYK
2018-08-13,166.11,166.05,167.62,165.85,759810.0,0.0014000000000000002,SYK
2018-08-14,166.21,166.09,167.31,165.42,973070.0,0.0006,SYK
2018-08-15,166.78,165.83,167.03,164.75,677240.0,0.0034000000000000002,SYK
2018-08-16,168.69,168.0,169.75,167.85,1160000.0,0.0115,SYK
2018-08-17,169.98,168.6,170.21,167.63,1320000.0,0.0076,SYK
2018-08-20,168.9,170.31,170.63,168.63,950340.0,-0.0064,SYK
2018-08-21,168.3,169.34,169.7,168.05,823100.0,-0.0036,SYK
2018-08-22,169.55,167.76,169.79,167.69,765980.0,0.0074,SYK
2018-08-23,169.4,169.73,170.15,168.86,668430.0,-0.0009,SYK
2018-08-24,169.98,169.4,170.28,169.27,616790.0,0.0034000000000000002,SYK
2018-08-27,170.48,170.69,170.95,169.48,836250.0,0.0029,SYK
2018-08-28,169.89,170.76,171.18,169.5,732780.0,-0.0034999999999999996,SYK
2018-08-29,171.27,170.25,171.96,169.83,774230.0,0.008100000000000001,SYK
2018-08-30,169.02,170.56,170.75,168.6,1280000.0,-0.0131,SYK
2018-08-31,169.43,168.48,169.73,167.35,1410000.0,0.0024,SYK
2018-09-04,168.6,169.5,169.91,168.27,754970.0,-0.0049,SYK
2018-09-05,168.04,167.82,168.48,166.07,868870.0,-0.0033,SYK
2018-09-06,171.25,168.04,171.68,167.32,1290000.0,0.0191,SYK
2018-09-07,169.75,170.52,170.78,169.5,1140000.0,-0.0088,SYK
2018-09-10,170.39,170.42,171.79,170.18,1070000.0,0.0038,SYK
2018-09-11,171.76,170.22,172.65,169.73,1180000.0,0.008,SYK
2018-09-12,173.29,171.59,173.49,171.09,1090000.0,0.0089,SYK
2018-09-13,173.07,172.28,173.78,171.81,2390000.0,-0.0013,SYK
2018-09-14,170.5,173.49,173.62,170.04,1350000.0,-0.0148,SYK
2018-09-17,169.88,171.22,171.22,169.16,1440000.0,-0.0036,SYK
2018-09-18,174.1,169.75,174.16,169.3,1490000.0,0.0248,SYK
2018-09-19,173.53,173.97,174.01,172.45,1510000.0,-0.0033,SYK
2018-09-20,173.49,174.0,174.1,172.45,1350000.0,-0.0002,SYK
2018-09-21,174.5,173.51,174.96,173.51,3220000.0,0.0058,SYK
2018-09-24,176.08,173.94,176.57,173.94,1230000.0,0.0091,SYK
2018-09-25,175.77,176.26,176.75,175.53,603770.0,-0.0018,SYK
2018-09-26,175.78,175.89,177.09,174.99,1220000.0,0.0001,SYK
2018-09-27,175.04,175.76,175.76,174.67,1010000.0,-0.0042,SYK
2018-09-28,177.68,175.0,177.76,175.0,1370000.0,0.0151,SYK
2018-10-01,178.65,178.25,178.9,177.71,1290000.0,0.0055000000000000005,SYK
2018-10-02,177.38,178.62,178.62,176.07,1130000.0,-0.0070999999999999995,SYK
2018-10-03,175.31,177.35,177.75,174.76,1120000.0,-0.011699999999999999,SYK
2018-10-04,173.57,174.85,174.99,172.53,1230000.0,-0.009899999999999999,SYK
2018-10-05,174.09,174.02,174.5,172.6,1160000.0,0.003,SYK
2018-10-08,175.0,174.16,176.74,173.24,1480000.0,0.0052,SYK
2018-10-09,176.08,175.06,176.64,174.15,1020000.0,0.0062,SYK
2018-10-10,171.15,176.0,176.7,170.8,2089999.9999999998,-0.027999999999999997,SYK
2018-10-11,168.72,170.54,171.71,167.18,1350000.0,-0.014199999999999999,SYK
2018-10-12,171.04,171.06,172.53,168.89,1160000.0,0.0138,SYK
2018-10-15,169.41,170.66,171.35,169.02,790700.0,-0.0095,SYK
2018-10-16,175.1,171.16,175.5,171.12,1360000.0,0.0336,SYK
2018-10-17,176.23,174.32,176.48,173.53,1110000.0,0.006500000000000001,SYK
2018-10-18,173.1,176.42,176.5,171.43,1200000.0,-0.0178,SYK
2018-10-19,168.94,173.34,173.34,168.58,1710000.0,-0.024,SYK
2018-10-22,167.76,169.26,169.54,166.94,1920000.0,-0.006999999999999999,SYK
2018-10-23,166.63,165.9,167.69,164.06,1460000.0,-0.0067,SYK
2018-10-24,163.2,166.35,168.53,163.0,1840000.0,-0.0206,SYK
2018-10-25,165.27,164.42,166.31,162.38,2080000.0,0.0127,SYK
2018-10-26,160.38,164.0,164.0,156.67,3170000.0,-0.0296,SYK
2018-10-29,161.75,162.64,164.01,159.71,1660000.0,0.0085,SYK
2018-10-30,162.04,162.19,164.5,160.13,1360000.0,0.0018,SYK
2018-10-31,162.22,163.53,164.08,161.77,1600000.0,0.0011,SYK
2018-11-01,166.57,163.12,167.46,162.83,1740000.0,0.0268,SYK
2018-11-02,165.37,167.47,168.46,163.67,1100000.0,-0.0072,SYK
2018-11-05,166.33,165.93,167.15,165.27,974740.0,0.0058,SYK
2018-11-06,166.73,165.84,166.87,165.21,990700.0,0.0024,SYK
2018-11-07,169.75,168.09,169.85,167.38,1260000.0,0.0181,SYK
2018-11-08,171.29,169.59,171.46,169.01,855150.0,0.0091,SYK
2018-11-09,171.25,171.0,173.26,170.02,1420000.0,-0.0002,SYK
2018-11-12,170.01,171.38,172.73,168.94,1250000.0,-0.0072,SYK
2018-11-13,167.82,170.12,171.05,167.04,1170000.0,-0.0129,SYK
2018-11-14,166.0,168.45,168.79,165.1,1380000.0,-0.0108,SYK
2018-11-15,168.72,164.94,168.74,162.29,1190000.0,0.016399999999999998,SYK
2018-11-16,172.16,167.87,172.52,167.81,1750000.0,0.0204,SYK
2018-11-19,167.72,171.98,171.98,166.3,962360.0,-0.0258,SYK
2018-11-20,165.95,166.71,167.65,165.25,1470000.0,-0.0106,SYK
2018-11-21,164.34,165.97,166.96,162.86,1290000.0,-0.0097,SYK
2018-11-23,164.8,163.77,166.07,163.77,570290.0,0.0028000000000000004,SYK
2018-11-26,165.91,165.07,166.34,163.81,1630000.0,0.0067,SYK
2018-11-27,167.07,165.54,167.16,164.53,1000000.0,0.006999999999999999,SYK
2018-11-28,171.68,167.2,171.87,167.08,1360000.0,0.0276,SYK
2018-11-29,170.91,170.8,172.84,170.22,1530000.0,-0.0045000000000000005,SYK
2018-11-30,175.46,171.36,175.5,171.16,2590000.0,0.026600000000000002,SYK
2018-12-03,173.89,175.65,176.0,172.87,1880000.0,-0.0089,SYK
2018-12-04,172.25,173.8,175.24,171.75,1700000.0,-0.009399999999999999,SYK
2018-12-06,172.44,170.42,172.44,167.15,1590000.0,0.0011,SYK
2018-12-07,168.85,172.02,172.26,167.69,1270000.0,-0.0208,SYK
2018-12-10,171.22,169.44,171.87,167.01,1110000.0,0.013999999999999999,SYK
2018-12-11,171.66,172.78,174.17,171.28,1390000.0,0.0026,SYK
2018-12-12,172.61,172.67,174.92,171.75,1480000.0,0.0055000000000000005,SYK
2018-12-13,172.86,173.26,174.85,172.26,904720.0,0.0014000000000000002,SYK
2018-12-14,166.56,171.89,171.99,165.95,1460000.0,-0.0364,SYK
2018-12-17,160.11,165.53,165.53,159.15,2360000.0,-0.0387,SYK
2018-12-18,161.48,163.55,163.55,159.81,1390000.0,0.0086,SYK
2018-12-19,158.0,161.81,162.34,156.0,1280000.0,-0.0216,SYK
2018-12-20,153.79,157.16,157.91,152.63,1780000.0,-0.026600000000000002,SYK
2018-12-21,150.73,153.79,156.65,150.63,2750000.0,-0.0199,SYK
2018-12-24,145.0,150.04,150.58,144.95,998290.0,-0.038,SYK
2018-12-26,150.83,145.47,150.83,144.75,1940000.0,0.04019999999999999,SYK
2018-12-27,154.6,149.28,154.6,148.01,1620000.0,0.025,SYK
2018-12-28,154.8,155.0,156.62,153.61,1250000.0,0.0013,SYK
2018-12-31,156.75,155.3,158.04,155.28,1190000.0,0.0126,SYK
