date,close,open,high,low,volume,change,symbol,macd,macds,macdh,close_-1_s,close_-1_d,rs_14,rsi_14,close_20_sma,close_20_mstd,boll,boll_ub,boll_lb,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,high_delta,um,low_delta,dm,pdm,pdm_14_ema,pdm_14,tr,atr_14,pdi_14,pdi,mdm,mdm_14_ema,mdm_14,mdi_14,mdi,dx_14,dx,dx_6_ema,adx,adx_6_ema,adxr,close_5_ema,close_10_ema,close_20_ema,close_40_ema,vr
2010-01-04,36.3,35.88,36.34,35.46,4770000.0,0.0269,MET,0.0,0.0,0.0,,,,,36.3,,36.3,,,95.45454545454476,65.15151515151491,65.15151515151491,55.05050505050497,55.05050505050497,85.35353535353482,85.35353535353482,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,36.3,36.3,36.3,36.3,inf
2010-01-05,37.14,36.08,37.23,36.01,5600000.0,0.0231,MET,0.01884615384615529,0.01047008547008627,0.008376068376069018,36.3,0.8400000000000034,inf,100.0,36.72,0.5939696961967024,36.72,37.9079393923934,35.532060607606596,94.91525423728834,75.07276151343939,75.07276151343939,61.72459053814977,61.72459053814977,101.76910346401863,101.76910346401863,0.8899999999999935,0.8899999999999935,0.5499999999999972,0.0,0.8899999999999935,0.47678571428571076,0.47678571428571076,1.2199999999999989,1.2199999999999989,39.08079625292714,39.08079625292714,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,36.804,36.762,36.741,36.73049999999999,inf
2010-01-06,37.52,37.12,37.6,36.81,4210000.0,0.0102,MET,0.03579751797550301,0.02085018075919149,0.014947337216311522,37.14,0.38000000000000256,inf,100.0,36.98666666666667,0.6242862591258412,36.98666666666667,38.235239184918356,35.73809414841499,96.26168224299073,82.1357350899565,82.1357350899565,68.52830538875202,68.52830538875202,109.35059449236547,109.35059449236547,0.37000000000000455,0.37000000000000455,0.8000000000000043,0.0,0.37000000000000455,0.43599320882852255,0.43599320882852255,0.7899999999999991,0.9970370370370361,43.728887958284254,43.728887958284254,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,37.143157894736845,37.06671096345516,37.027044129891756,37.00693188918975,inf
2010-01-07,38.05,37.26,38.11,37.02,6300000.0,0.0141,MET,0.06176547254296594,0.03471037445288202,0.02705509809008392,37.52,0.529999999999994,inf,100.0,37.2525,0.736540336075811,37.2525,38.72558067215162,35.77941932784837,97.73584905660368,87.33577307883888,87.33577307883888,74.79746128544764,74.79746128544764,112.41239666562137,112.41239666562137,0.509999999999998,0.509999999999998,0.21000000000000085,0.0,0.509999999999998,0.45863397389412536,0.45863397389412536,1.0899999999999963,1.030347349177329,44.51255921222268,44.51255921222268,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,37.51984615384616,37.39066089108911,37.32235567331671,37.28757405527794,inf
2010-01-08,38.25,37.8,38.27,37.44,4810000.0,0.0053,MET,0.08253421224958402,0.0489368849826006,0.03359732726698342,38.05,0.20000000000000284,inf,100.0,37.452,0.7783765155758506,37.452,39.0087530311517,35.8952469688483,99.2882562277579,91.31993412847855,91.31993412847855,80.30495223312461,80.30495223312461,113.34989791918642,113.34989791918642,0.1600000000000037,0.1600000000000037,0.4199999999999946,0.0,0.1600000000000037,0.38072082704170807,0.38072082704170807,0.8300000000000054,0.9745631659056317,39.06579279424293,39.06579279424293,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,37.800142180094795,37.637353777376916,37.54674494185952,37.49977641855677,inf
2010-01-11,38.5,38.65,38.9,38.21,7140000.0,0.006500000000000001,MET,0.1041578189632375,0.06390482831588973,0.040252990647347775,38.25,0.25,inf,100.0,37.626666666666665,0.8171576755233162,37.626666666666665,39.260982017713296,35.992351315620034,88.37209302325584,90.33732042673765,90.33732042673765,83.64907496432895,83.64907496432895,103.71381135155508,103.71381135155508,0.6299999999999955,0.6299999999999955,0.7700000000000031,0.0,0.6299999999999955,0.4383995834130626,0.4383995834130626,0.6899999999999977,0.9089190601149332,48.233071859844905,48.233071859844905,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,38.05587969924813,37.86141279876141,37.74783821691188,37.68799441999308,inf
2010-01-12,38.51,39.0,39.31,38.35,6480000.0,0.0003,MET,0.11668418327979424,0.07726187503218859,0.03942230824760565,38.5,0.00999999999999801,inf,100.0,37.75285714285714,0.8172660579785579,37.75285714285714,39.38738925881425,36.118325026900024,79.22077922077911,86.63180669141812,86.63180669141812,84.64331887335867,84.64331887335867,90.60878232753706,90.60878232753706,0.4100000000000037,0.4100000000000037,0.14000000000000057,0.0,0.4100000000000037,0.432415189046044,0.432415189046044,0.9600000000000009,0.91908381423651,47.04850442886481,47.04850442886481,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,38.21666342884897,38.01769625988544,37.891944145209955,37.823752084035526,inf
2010-01-13,37.92,38.59,38.87,37.64,6670000.0,-0.0153,MET,0.09514708143948525,0.08156002646324302,0.013587054976242227,38.51,-0.5899999999999963,2.6776858134171464,72.80898775116292,37.77375,0.7589454619969187,37.77375,39.29164092399384,36.25585907600616,63.896103896103895,79.05323909298005,79.05323909298005,82.77995894656578,82.77995894656578,71.59979938580858,71.59979938580858,-0.44000000000000483,0.0,-0.7100000000000009,0.7100000000000009,0.0,0.3478411454547667,0.3478411454547667,1.2299999999999969,0.9739544418471281,35.714313781975015,35.714313781975015,0.7100000000000009,0.13886554513100838,0.13886554513100838,14.257909730114946,14.257909730114946,42.93666069645479,42.93666069645479,81.98743575893582,81.98743575893582,94.31416957895581,94.31416957895581,38.11376050753371,37.995469889936594,37.8967937406852,37.837990816459566,589.3553223388305
2010-01-14,38.28,37.88,38.44,37.07,5640000.0,0.0095,MET,0.09664625036997165,0.08504501902884007,0.011601231341131585,37.92,0.35999999999999943,3.334791419675298,76.93083926804243,37.830000000000005,0.7297088460475196,37.830000000000005,39.28941769209504,36.37058230790497,73.24675324675323,77.11774381090444,77.11774381090444,80.89255390134534,80.89255390134534,69.56812363002265,69.56812363002265,-0.4299999999999997,0.0,-0.5700000000000003,0.5700000000000003,0.0,0.28379550489252836,0.28379550489252836,1.3699999999999974,1.037204230259435,27.36158382438749,27.36158382438749,0.5700000000000003,0.21824742013730125,0.21824742013730125,21.041894524737064,21.041894524737064,13.056270985460547,13.056270985460547,60.861302848125995,60.861302848125995,84.0614818269701,84.0614818269701,38.17065359136196,38.05737368496372,37.958261898466546,37.8974818235135,673.9130434782609
2010-01-15,37.85,38.03,38.03,37.34,7620000.0,-0.011200000000000002,MET,0.07415460940534047,0.08260493508576512,-0.008450325680424656,38.28,-0.4299999999999997,1.807228938832671,64.37768269744933,37.83200000000001,0.6880051679392485,37.83200000000001,39.208010335878505,36.45598966412151,55.757575757575786,69.99768779312822,69.99768779312822,77.26093186527297,77.26093186527297,55.471199648838734,55.471199648838734,-0.4099999999999966,0.0,0.2700000000000031,0.0,0.0,0.2340678202473634,0.2340678202473634,0.9399999999999977,1.0229395991339585,22.88188085059274,22.88188085059274,0.0,0.18000531025145763,0.18000531025145763,17.596865973695202,17.596865973695202,13.056270985460545,13.056270985460545,46.508019705121406,46.508019705121406,72.78619439732296,72.78619439732296,38.061882809134005,38.01381356398023,37.94195859462888,37.891596194571314,314.55563331000695
