date,MACD_Signal,MACD,MACD_Hist,1. open,2. high,3. low,4. close,5. volume
2012-12-31,4.9707,3.2177,-1.753,1402.4301,1426.74,1398.11,1426.1899,3204330000.0
2013-01-02,5.2134,6.1841,0.9707,1426.1899,1462.4301,1426.1899,1462.42,4202600000.0
2013-01-03,5.8096,8.1945,2.3849,1462.42,1465.47,1455.53,1459.37,3829730000.0
2013-01-04,6.6962,10.2425,3.5463,1459.37,1467.9399,1458.99,1466.47,3424290000.0
2013-01-07,7.63,11.3651,3.7351,1466.47,1466.47,1456.62,1461.89,3304970000.0
2013-01-08,8.4514,11.7369,3.2855,1461.89,1461.89,1451.64,1457.15,3601600000.0
2013-01-09,9.2017,12.2032,3.0015,1457.15,1464.73,1457.15,1461.02,3674390000.0
2013-01-10,10.0244,13.3149,3.2905,1461.02,1472.3,1461.02,1472.12,4081840000.0
2013-01-11,10.8252,14.0286,3.2034,1472.12,1472.75,1467.58,1472.05,3340650000.0
2013-01-14,11.5239,14.3186,2.7947,1472.05,1472.05,1465.6899,1470.6801,3003010000.0
2013-01-15,12.1221,14.5151,2.3929,1470.67,1473.3101,1463.76,1472.34,3135350000.0
2013-01-16,12.603,14.5267,1.9237,1472.33,1473.96,1467.6,1472.63,3384080000.0
2013-01-17,13.0891,15.0332,1.9441,1472.63,1485.16,1472.63,1480.9399,3706710000.0
2013-01-18,13.6034,15.6607,2.0573,1480.95,1485.98,1475.8101,1485.98,3795740000.0
2013-01-22,14.1825,16.4988,2.3163,1485.98,1492.5601,1481.16,1492.5601,3570950000.0
2013-01-23,14.7754,17.1469,2.3716,1492.5601,1496.13,1489.9,1494.8101,3552010000.0
2013-01-24,15.3123,17.4601,2.1478,1494.8101,1502.27,1489.46,1494.8199,3699430000.0
2013-01-25,15.881,18.1558,2.2748,1494.8199,1503.26,1494.8199,1502.96,3476290000.0
2013-01-28,16.3592,18.2722,1.913,1502.96,1503.23,1496.33,1500.1801,3388540000.0
2013-01-29,16.8406,18.7662,1.9256,1500.1801,1509.35,1498.09,1507.84,3949640000.0
2013-01-30,17.1666,18.4704,1.3038,1507.84,1509.9399,1500.11,1501.96,3726810000.0
2013-01-31,17.2775,17.721,0.4435,1501.96,1504.1899,1496.76,1498.11,3999880000.0
2013-02-01,17.4486,18.1332,0.6846,1498.11,1514.41,1498.11,1513.17,3836320000.0
2013-02-04,17.3302,16.8568,-0.4735,1513.17,1513.17,1495.02,1495.71,3390000000.0
2013-02-05,17.2457,16.9075,-0.3382,1495.71,1514.96,1495.71,1511.29,3618360000.0
2013-02-06,17.1607,16.8207,-0.34,1511.29,1512.53,1504.71,1512.12,3611570000.0
2013-02-07,16.9972,16.3432,-0.654,1512.12,1512.9,1498.49,1509.39,3614580000.0
2013-02-08,16.8906,16.4642,-0.4264,1509.39,1518.3101,1509.39,1517.9301,2986150000.0
2013-02-11,16.7721,16.2979,-0.4741,1517.9301,1518.3101,1513.61,1517.01,2684100000.0
2013-02-12,16.6526,16.175,-0.4777,1517.01,1522.29,1515.61,1519.4301,3414370000.0
2013-02-13,16.5153,15.9661,-0.5492,1519.4301,1524.6899,1515.9301,1520.33,3385880000.0
2013-02-14,16.3531,15.7043,-0.6488,1520.33,1523.14,1514.02,1521.38,3759740000.0
2013-02-15,16.1212,15.1933,-0.9278,1521.38,1524.24,1514.14,1519.79,3838510000.0
2013-02-19,15.9988,15.5094,-0.4895,1519.79,1530.9399,1519.79,1530.9399,3748910000.0
2013-02-20,15.6121,14.0653,-1.5468,1530.9399,1530.9399,1511.41,1511.95,4240570000.0
2013-02-21,14.8924,12.0134,-2.8789,1511.95,1511.95,1497.29,1502.42,4274600000.0
2013-02-22,14.178,11.3203,-2.8576,1502.42,1515.64,1502.42,1515.6,3419320000.0
2013-02-25,13.0293,8.4346,-4.5947,1515.6,1525.84,1487.85,1487.85,4011050000.0
2013-02-26,11.784,6.8027,-4.9813,1487.85,1498.99,1485.01,1496.9399,3975280000.0
2013-02-27,10.8204,6.9663,-3.8541,1496.9399,1520.08,1494.88,1515.99,3551850000.0
2013-02-28,10.0385,6.9106,-3.1279,1515.99,1525.34,1514.46,1514.6801,3912320000.0
2013-03-01,9.4446,7.069,-2.3756,1514.6801,1519.99,1501.48,1518.2,3695610000.0
2013-03-04,9.0899,7.6709,-1.4189,1518.2,1525.27,1512.29,1525.2,3414430000.0
2013-03-05,9.1157,9.219,0.1033,1525.2,1543.47,1525.2,1539.79,3610690000.0
2013-03-06,9.3846,10.46,1.0755,1539.79,1545.25,1538.11,1541.46,3676890000.0
2013-03-07,9.8149,11.5365,1.7216,1541.46,1545.78,1541.46,1544.26,3634710000.0
2013-03-08,10.412,12.8005,2.3884,1544.26,1552.48,1542.9399,1551.1801,3652260000.0
2013-03-11,11.139,14.0469,2.9079,1551.15,1556.27,1547.36,1556.22,3091080000.0
2013-03-12,11.8242,14.565,2.7408,1556.22,1556.77,1548.24,1552.48,3274910000.0
2013-03-13,12.4529,14.9677,2.5148,1552.48,1556.39,1548.25,1554.52,3073830000.0
2013-03-14,13.1238,15.8075,2.6836,1554.52,1563.3199,1554.52,1563.23,3459260000.0
2013-03-15,13.7158,16.0834,2.3677,1563.21,1563.62,1555.74,1560.7,5175850000.0
2013-03-18,14.0587,15.4303,1.3716,1560.7,1560.7,1545.13,1552.1,3164560000.0
2013-03-19,14.1355,14.4428,0.3073,1552.1,1557.25,1538.5699,1548.34,3796210000.0
2013-03-20,14.1748,14.3318,0.157,1548.34,1561.5601,1548.34,1558.71,3349090000.0
2013-03-21,13.9501,13.0516,-0.8985,1558.71,1558.71,1543.55,1545.8,3243270000.0
2013-03-22,13.717,12.7846,-0.9324,1545.9,1557.74,1545.9,1556.89,2948380000.0
2013-03-25,13.3766,12.0148,-1.3617,1556.89,1564.91,1546.22,1551.6899,3178170000.0
2013-03-26,13.149,12.2385,-0.9105,1551.6899,1563.95,1551.6899,1563.77,2869260000.0
2013-03-27,12.9593,12.2009,-0.7585,1563.75,1564.0699,1551.9,1562.85,2914210000.0
2013-03-28,12.8751,12.5381,-0.337,1562.86,1570.28,1561.08,1569.1899,3304440000.0
2013-04-01,12.72,12.0994,-0.6205,1569.1801,1570.5699,1558.47,1562.17,2753110000.0
2013-04-02,12.6285,12.2624,-0.366,1562.17,1573.66,1562.17,1570.25,3312160000.0
2013-04-03,12.2886,10.9293,-1.3593,1570.25,1571.47,1549.8,1553.6899,4060610000.0
2013-04-04,11.8833,10.2621,-1.6212,1553.6899,1562.6,1552.52,1559.98,3350670000.0
2013-04-05,11.3243,9.088,-2.2363,1559.98,1559.98,1539.5,1553.28,3515410000.0
2013-04-08,10.8285,8.8454,-1.9831,1553.26,1563.0699,1548.63,1563.0699,2887120000.0
2013-04-09,10.4621,8.9965,-1.4656,1563.11,1573.89,1560.92,1568.61,3252780000.0
2013-04-10,10.4772,10.5377,0.0604,1568.61,1589.0699,1568.61,1587.73,3453350000.0
2013-04-11,10.7967,12.0749,1.2782,1587.73,1597.35,1586.17,1593.37,3393950000.0
2013-04-12,11.1936,12.7811,1.5875,1593.3,1593.3,1579.97,1588.85,3206290000.0
2013-04-15,11.0105,10.2779,-0.7326,1588.84,1588.84,1552.28,1552.36,4660130000.0
2013-04-16,10.8026,9.9713,-0.8313,1552.36,1575.35,1552.36,1574.5699,3654700000.0
2013-04-17,10.2057,7.8178,-2.3879,1574.5699,1574.5699,1543.6899,1552.01,4250310000.0
