,items,freq
0,"XEL,AEP,DUK,CMS,WEC,ED",150
1,"XEL,LNT,AEP,CMS,WEC,ED",149
2,"XEL,LNT,AEP,DUK,WEC,ED",149
3,"XEL,AEP,DUK,CMS,DTE,ED",148
4,"PNW,XEL,LNT,AEP,WEC,ED",148
5,"XEL,LNT,AEP,DUK,CMS,ED",147
6,"XEL,LNT,AEP,DUK,CMS,WEC",147
7,"XEL,LNT,DUK,CMS,WEC,ED",147
8,"PNW,XEL,AEP,CMS,WEC,ED",147
9,"PNW,XEL,LNT,CMS,WEC,ED",147
10,"XEL,AEP,CMS,ES,WEC,ED",146
11,"XEL,AEP,CMS,DTE,WEC,ED",146
12,"XEL,AEP,DUK,ES,WEC,ED",146
13,"XEL,LNT,CMS,ES,WEC,ED",146
14,"PNW,XEL,AEP,DUK,WEC,ED",146
15,"PNW,XEL,LNT,AEP,CMS,WEC",146
16,"PNW,XEL,LNT,DUK,WEC,ED",146
17,"XEL,DUK,CMS,DTE,WEC,ED",145
18,"PNW,XEL,CMS,ES,WEC,ED",145
19,"PNW,XEL,LNT,AEP,DUK,ED",145
20,"PNW,XEL,LNT,CMS,ES,WEC",145
21,"PNW,XEL,LNT,DUK,CMS,WEC",145
22,"XEL,AEP,AEE,DUK,CMS,ED",144
23,"XEL,AEP,DUK,CMS,ES,ED",144
24,"XEL,AEP,DUK,DTE,WEC,ED",144
25,"XEL,DUK,CMS,ES,WEC,ED",144
26,"XEL,LNT,AEP,ES,WEC,ED",144
27,"XEL,LNT,AEP,DUK,ES,ED",144
28,"XEL,LNT,DUK,CMS,ES,WEC",144
29,"PNW,XEL,AEP,ES,WEC,ED",144
30,"PNW,XEL,AEP,DUK,CMS,ED",144
31,"PNW,XEL,DUK,CMS,WEC,ED",144
32,"PNW,XEL,LNT,AEP,CMS,ED",144
33,"PNW,XEL,LNT,AEP,DUK,WEC",144
34,"PNW,XEL,LNT,ES,WEC,ED",144
35,"XEL,AEP,CMS,WEC,ED",161
36,"XEL,AEP,DUK,CMS,ED",161
37,"XEL,AEP,DUK,WEC,ED",161
38,"XEL,LNT,AEP,WEC,ED",159
39,"XEL,LNT,CMS,WEC,ED",159
40,"PNW,XEL,LNT,CMS,WEC",159
41,"XEL,DUK,CMS,WEC,ED",158
42,"XEL,LNT,AEP,CMS,WEC",158
43,"XEL,LNT,DUK,CMS,WEC",158
44,"PNW,XEL,AEP,WEC,ED",158
45,"PNW,XEL,LNT,WEC,ED",158
46,"XEL,AEP,CMS,DTE,ED",157
47,"XEL,AEP,DUK,CMS,WEC",157
48,"XEL,CMS,ES,WEC,ED",157
49,"XEL,LNT,AEP,DUK,ED",157
50,"XEL,LNT,CMS,ES,WEC",157
51,"XEL,LNT,DUK,WEC,ED",157
52,"PNW,XEL,CMS,WEC,ED",157
53,"PNW,XEL,LNT,AEP,WEC",157
54,"XEL,AEP,ES,WEC,ED",156
55,"XEL,AEP,DUK,CMS,DTE",156
56,"XEL,CMS,DTE,WEC,ED",156
57,"XEL,DUK,CMS,DTE,ED",156
58,"XEL,LNT,AEP,CMS,ED",156
59,"XEL,LNT,AEP,DUK,CMS",156
60,"XEL,LNT,AEP,DUK,WEC",156
61,"XEL,LNT,DUK,CMS,ED",156
62,"PNW,XEL,AEP,CMS,ED",156
63,"PNW,XEL,AEP,DUK,ED",156
64,"XEL,AEP,CMS,ES,ED",155
65,"XEL,AEP,DUK,ES,ED",155
66,"XEL,AEP,DUK,DTE,ED",155
67,"XEL,CMS,ES,DTE,ED",155
68,"XEL,LNT,CMS,ES,ED",155
69,"PNW,XEL,AEP,CMS,WEC",155
70,"PNW,XEL,CMS,ES,ED",155
71,"PNW,XEL,DUK,WEC,ED",155
72,"PNW,XEL,LNT,AEP,ED",155
73,"PNW,XEL,LNT,DUK,WEC",155
74,"XEL,DUK,ES,WEC,ED",154
75,"XEL,LNT,ES,WEC,ED",154
76,"PNW,XEL,ES,WEC,ED",154
77,"PNW,XEL,CMS,ES,WEC",154
78,"PNW,XEL,CMS,DTE,ED",154
79,"PNW,XEL,LNT,ES,WEC",154
80,"PNW,XEL,LNT,CMS,ED",154
