,items,freq
0,"AVB,ESS,EQR,UDR,AIV",148
1,"AVB,ESS,EQR,AIV",162
2,"AVB,ESS,EQR,UDR",159
3,"AVB,ESS,UDR,AIV",158
4,"AVB,EQR,UDR,AIV",157
5,"ESS,EQR,UDR,AIV",157
6,"SLG,BXP,KIM,REG",152
7,"AVB,SLG,ESS,BXP",151
8,"AVB,ESS,KIM,REG",150
9,"AVB,ESS,EQR,BXP",150
10,"AVB,FRT,KIM,REG",150
11,"PNC,BBT,USB,STI",150
12,"PNC,USB,WFC,STI",150
13,"FRT,BXP,KIM,REG",149
14,"SLG,VNO,KIM,REG",149
15,"SLG,ESS,KIM,REG",149
16,"AVB,SLG,KIM,REG",149
17,"AVB,SLG,ESS,REG",149
18,"AVB,ESS,KIM,AIV",149
19,"AVB,ESS,BXP,AIV",149
20,"AVB,ESS,UDR,REG",149
21,"AVB,BXP,KIM,REG",149
22,"ESS,BXP,KIM,REG",149
23,"SLG,VNO,BXP,REG",148
24,"AVB,SLG,ESS,KIM",148
25,"AVB,SLG,ESS,EQR",148
26,"AVB,SLG,ESS,UDR",148
27,"AVB,ESS,MAA,AIV",148
28,"AVB,ESS,EQR,KIM",148
29,"AVB,EQR,KIM,AIV",148
30,"AVB,EQR,BXP,AIV",148
31,"SLG,ESS,BXP,KIM",147
32,"SLG,FRT,KIM,REG",147
33,"FITB,BBT,KEY,STI",147
34,"AVB,SLG,EQR,AIV",147
35,"AVB,ESS,FRT,UDR",147
36,"AVB,ESS,EQR,REG",147
37,"AVB,ESS,BXP,REG",147
38,"AVB,ESS,AIV,REG",147
39,"AVB,ESS,UDR,KIM",147
40,"AVB,EQR,AIV,REG",147
41,"AVB,EQR,UDR,REG",147
42,"PNC,BBT,HBAN,STI",147
43,"PNC,BBT,WFC,STI",147
44,"PNC,USB,HBAN,STI",147
45,"PNC,USB,JPM,STI",147
46,"ESS,EQR,BXP,AIV",147
47,"SLG,ESS,EQR,UDR",146
48,"FITB,BBT,KEY,HBAN",146
49,"AVB,SLG,EQR,UDR",146
50,"AVB,SLG,BXP,REG",146
51,"AVB,KIM,AIV,REG",146
