,items,freq
0,"AVB,ESS,EQR,UDR,AIV",148
1,"XEL,LNT,AEE,DTE,WEC",146
2,"XEL,LNT,AEP,AEE,DTE",144
3,"AVB,ESS,EQR,AIV",162
4,"XEL,LNT,AEE,DTE",161
5,"LNT,AEE,DTE,WEC",161
6,"XEL,LNT,DTE,WEC",160
7,"AVB,ESS,EQR,UDR",159
8,"XEL,AEE,DTE,WEC",158
9,"PNW,LNT,DTE,WEC",158
10,"AVB,ESS,UDR,AIV",158
11,"ESS,EQR,UDR,AIV",157
12,"PNW,XEL,LNT,DTE",157
13,"SCG,AEE,DTE,WEC",157
14,"AVB,EQR,UDR,AIV",157
15,"LNT,SCG,AEE,DTE",157
16,"AEP,AEE,DTE,WEC",156
17,"XEL,LNT,AEP,DTE",156
18,"XEL,AEP,AEE,DTE",156
19,"PNW,LNT,AEE,DTE",156
20,"LNT,SCG,DTE,WEC",156
21,"XEL,AEP,DTE,WEC",155
22,"PNW,XEL,DTE,WEC",155
23,"LNT,AEP,AEE,DTE",155
24,"LNT,AEP,AEE,WEC",155
25,"XEL,SCG,AEE,DTE",154
26,"XEL,LNT,SCG,DTE",154
27,"XEL,LNT,AEE,WEC",154
28,"PNW,XEL,AEP,DTE",154
29,"PNW,LNT,AEE,WEC",154
30,"PNW,AEE,DTE,WEC",154
31,"LNT,SCG,AEE,WEC",154
32,"LNT,AEP,DTE,WEC",154
33,"XEL,SCG,DTE,WEC",153
34,"XEL,PPL,DTE,WEC",153
35,"XEL,LNT,SCG,AEE",153
36,"XEL,LNT,CMS,DTE",153
37,"PNW,SCG,DTE,WEC",153
38,"PNW,XEL,LNT,AEE",153
39,"PNW,LNT,SCG,AEE",153
40,"PNW,AEP,DTE,WEC",153
41,"ES,XEL,LNT,DTE",153
42,"LNT,CMS,DTE,WEC",153
43,"XEL,LNT,PPL,DTE",152
44,"XEL,LNT,AEP,AEE",152
45,"PNW,SCG,AEE,WEC",152
46,"PNW,XEL,AEE,DTE",152
47,"PNW,LNT,SCG,DTE",152
48,"PNW,LNT,CMS,DTE",152
49,"PNW,LNT,AEP,DTE",152
50,"SLG,BXP,KIM,REG",152
51,"LNT,PPL,DTE,WEC",152
52,"LNT,AEE,CMS,DTE",152
53,"XEL,CMS,DTE,WEC",151
54,"XEL,AEP,AEE,WEC",151
55,"PNW,SCG,AEE,DTE",151
56,"PNW,XEL,LNT,WEC",151
57,"PNW,XEL,LNT,AEP",151
58,"PNW,XEL,AEE,WEC",151
59,"PNW,CMS,DTE,WEC",151
60,"SCG,AEP,DTE,WEC",151
61,"AVB,SLG,ESS,BXP",151
62,"ES,LNT,AEE,DTE",151
63,"PNC,BBT,USB,STI",150
64,"PNC,USB,WFC,STI",150
65,"SRE,LNT,DTE,WEC",150
66,"XEL,SCG,AEE,WEC",150
67,"XEL,LNT,AEE,PPL",150
68,"XEL,LNT,AEE,CMS",150
69,"PNW,SCG,CMS,DTE",150
70,"PNW,XEL,SCG,DTE",150
71,"PNW,XEL,SCG,AEE",150
72,"PNW,XEL,LNT,SCG",150
73,"PNW,LNT,SCG,WEC",150
74,"PNW,LNT,AEP,WEC",150
75,"PNW,LNT,AEP,AEE",150
76,"PNW,AEP,AEE,DTE",150
77,"SCG,AEP,AEE,DTE",150
78,"SCG,AEE,CMS,DTE",150
79,"AVB,ESS,EQR,BXP",150
80,"AVB,ESS,KIM,REG",150
81,"AVB,FRT,KIM,REG",150
82,"ES,XEL,LNT,AEE",150
83,"ES,XEL,AEE,DTE",150
84,"LNT,AEP,CMS,DTE",150
85,"AEE,CMS,DTE,WEC",150
86,"ESS,BXP,KIM,REG",149
87,"FRT,BXP,KIM,REG",149
88,"XEL,SCG,CMS,DTE",149
89,"XEL,LNT,PPL,WEC",149
90,"XEL,LNT,AEP,WEC",149
91,"XEL,AEE,PPL,DTE",149
92,"XEL,AEE,CMS,DTE",149
93,"PNW,SCG,AEP,DTE",149
94,"PNW,XEL,SCG,WEC",149
95,"PNW,XEL,PPL,DTE",149
96,"PNW,XEL,CMS,DTE",149
97,"PNW,XEL,LNT,PPL",149
98,"PNW,XEL,LNT,CMS",149
99,"PNW,XEL,AEP,WEC",149
100,"PNW,XEL,AEP,AEE",149
101,"PNW,LNT,CMS,WEC",149
102,"PNW,AEP,AEE,WEC",149
103,"SLG,ESS,KIM,REG",149
104,"SLG,VNO,KIM,REG",149
105,"SCG,CMS,DTE,WEC",149
106,"SCG,AEP,AEE,WEC",149
107,"AVB,BXP,KIM,REG",149
108,"AVB,ESS,BXP,AIV",149
109,"AVB,ESS,UDR,REG",149
110,"AVB,ESS,KIM,AIV",149
111,"AVB,SLG,ESS,REG",149
112,"AVB,SLG,KIM,REG",149
113,"ES,XEL,DTE,WEC",149
114,"ES,LNT,DTE,WEC",149
115,"LNT,AEE,D,DTE",149
116,"LNT,AEE,PPL,DTE",149
117,"AEE,EIX,DTE,WEC",149
118,"AEP,CMS,DTE,WEC",148
119,"NEE,LNT,DTE,WEC",148
120,"SRE,LNT,AEE,DTE",148
121,"XEL,SCG,AEP,DTE",148
122,"XEL,LNT,SCG,WEC",148
123,"XEL,AEP,PPL,DTE",148
124,"PNW,SCG,AEP,WEC",148
125,"PNW,PPL,DTE,WEC",148
126,"SLG,VNO,BXP,REG",148
127,"AVB,ESS,MAA,AIV",148
128,"AVB,ESS,EQR,KIM",148
129,"AVB,EQR,BXP,AIV",148
130,"AVB,EQR,KIM,AIV",148
131,"AVB,SLG,ESS,UDR",148
132,"AVB,SLG,ESS,EQR",148
133,"AVB,SLG,ESS,KIM",148
134,"ES,PNW,LNT,DTE",148
135,"ES,AEE,DTE,WEC",148
136,"LNT,EIX,DTE,WEC",148
137,"LNT,SCG,CMS,DTE",148
138,"LNT,SCG,AEP,DTE",148
139,"LNT,SCG,AEP,AEE",148
140,"LNT,SO,DTE,WEC",148
141,"LNT,AEE,EIX,DTE",148
142,"AEE,PPL,DTE,WEC",148
143,"PNC,BBT,HBAN,STI",147
144,"PNC,BBT,WFC,STI",147
145,"PNC,USB,HBAN,STI",147
146,"PNC,USB,JPM,STI",147
147,"ESS,EQR,BXP,AIV",147
148,"AEP,PPL,DTE,WEC",147
149,"NEE,SCG,DTE,WEC",147
150,"NEE,LNT,AEE,DTE",147
151,"SRE,LNT,SCG,DTE",147
152,"XEL,SCG,PPL,DTE",147
153,"XEL,SO,DTE,WEC",147
154,"XEL,AEP,PPL,WEC",147
155,"XEL,AEP,CMS,DTE",147
156,"XEL,AEP,AEE,PPL",147
157,"XEL,AEE,EIX,DTE",147
158,"PNW,SCG,AEP,AEE",147
159,"PNW,XEL,SCG,CMS",147
160,"PNW,XEL,AEP,PPL",147
161,"PNW,XEL,AEP,CMS",147
162,"PNW,LNT,SCG,CMS",147
163,"PNW,LNT,PPL,WEC",147
164,"PNW,LNT,AEE,CMS",147
165,"PNW,AEP,CMS,DTE",147
166,"SLG,ESS,BXP,KIM",147
167,"SLG,FRT,KIM,REG",147
168,"FITB,BBT,KEY,STI",147
169,"AVB,ESS,BXP,REG",147
170,"AVB,ESS,UDR,KIM",147
171,"AVB,ESS,FRT,UDR",147
172,"AVB,ESS,EQR,REG",147
173,"AVB,ESS,AIV,REG",147
174,"AVB,EQR,UDR,REG",147
175,"AVB,EQR,AIV,REG",147
176,"AVB,SLG,EQR,AIV",147
177,"ES,SCG,DTE,WEC",147
178,"ES,SCG,AEE,DTE",147
179,"ES,SCG,AEE,WEC",147
180,"ES,XEL,CMS,DTE",147
181,"ES,XEL,AEP,DTE",147
182,"ES,CMS,DTE,WEC",147
183,"ES,LNT,CMS,DTE",147
184,"ES,LNT,AEE,WEC",147
185,"LNT,DTE,WEC,ED",147
186,"LNT,SCG,AEP,WEC",147
187,"LNT,SCG,AEE,CMS",147
188,"LNT,AEE,PPL,WEC",147
189,"LNT,AEE,CMS,WEC",147
190,"AEE,DTE,WEC,ED",147
191,"PNC,BBT,USB,WFC",146
192,"ESS,EQR,UDR,REG",146
193,"AEP,EIX,DTE,WEC",146
194,"AEP,AEE,PPL,DTE",146
195,"AEP,AEE,PPL,WEC",146
196,"AEP,AEE,CMS,DTE",146
197,"NEE,LNT,SCG,AEE",146
198,"SRE,LNT,SCG,AEE",146
199,"SRE,AEE,DTE,WEC",146
200,"XEL,EIX,DTE,WEC",146
201,"XEL,SCG,AEP,WEC",146
202,"XEL,NEE,LNT,DTE",146
203,"XEL,LNT,EIX,DTE",146
204,"XEL,LNT,D,DTE",146
205,"XEL,LNT,SCG,PPL",146
206,"XEL,LNT,AEP,PPL",146
207,"XEL,AEE,D,DTE",146
208,"XEL,AEE,PPL,WEC",146
209,"PNW,EIX,DTE,WEC",146
210,"PNW,SCG,AEE,CMS",146
211,"PNW,XEL,SCG,AEP",146
212,"PNW,XEL,PPL,WEC",146
213,"PNW,LNT,SCG,AEP",146
214,"SLG,ESS,EQR,UDR",146
215,"FITB,BBT,KEY,HBAN",146
216,"SCG,AEE,EIX,DTE",146
217,"SCG,AEE,D,DTE",146
218,"AVB,ESS,MAA,UDR",146
219,"AVB,ESS,FRT,BXP",146
220,"AVB,ESS,FRT,REG",146
221,"AVB,ESS,EQR,FRT",146
222,"AVB,EQR,KIM,REG",146
223,"AVB,KIM,AIV,REG",146
224,"AVB,SLG,BXP,REG",146
225,"AVB,SLG,EQR,UDR",146
226,"ES,PNW,DTE,WEC",146
227,"ES,PNW,XEL,LNT",146
228,"ES,PNW,LNT,AEE",146
229,"ES,XEL,SCG,DTE",146
230,"ES,XEL,SCG,AEE",146
231,"ES,XEL,LNT,WEC",146
232,"ES,XEL,AEE,WEC",146
233,"LNT,DUK,DTE,WEC",146
234,"LNT,D,DTE,WEC",146
235,"LNT,AWK,DTE,WEC",146
236,"LNT,AEP,PPL,DTE",146
237,"AEE,D,DTE,WEC",146
238,"AEE,SO,DTE,WEC",146
239,"BBT,USB,WFC,STI",146
240,"PNC,HBAN,WFC,STI",145
241,"PNC,USB,JPM,WFC",145
242,"NEE,LNT,SCG,DTE",145
243,"NEE,LNT,SCG,WEC",145
244,"NEE,AEE,DTE,WEC",145
245,"SRE,SCG,DTE,WEC",145
246,"SRE,SCG,AEE,DTE",145
247,"SRE,LNT,AEE,WEC",145
248,"EQR,KIM,AIV,REG",145
249,"XEL,EIX,PPL,DTE",145
250,"XEL,SCG,AEP,AEE",145
251,"XEL,SCG,AEE,PPL",145
252,"XEL,SCG,AEE,CMS",145
253,"XEL,SRE,DTE,WEC",145
254,"XEL,SRE,SCG,DTE",145
255,"XEL,SRE,CMS,DTE",145
256,"XEL,SRE,LNT,DTE",145
257,"XEL,CMS,PPL,DTE",145
258,"XEL,LNT,SCG,CMS",145
259,"XEL,LNT,SCG,AEP",145
260,"XEL,LNT,CMS,WEC",145
261,"PNW,SCG,CMS,WEC",145
262,"PNW,XEL,AEE,PPL",145
263,"PNW,LNT,EIX,DTE",145
264,"PNW,LNT,D,DTE",145
265,"PNW,LNT,PPL,DTE",145
266,"PNW,LNT,AEP,PPL",145
267,"PNW,LNT,AEP,CMS",145
268,"PNW,LNT,AEE,PPL",145
269,"PNW,AEP,PPL,WEC",145
270,"PNW,AEP,CMS,WEC",145
271,"PNW,AEE,PPL,WEC",145
272,"PNW,AEE,CMS,DTE",145
273,"SLG,ESS,BXP,REG",145
274,"SLG,FRT,BXP,REG",145
275,"SLG,EQR,KIM,REG",145
276,"SCG,EIX,DTE,WEC",145
277,"SCG,PPL,DTE,WEC",145
278,"SCG,AEP,CMS,DTE",145
279,"SCG,AEE,CMS,WEC",145
280,"AVB,MAA,UDR,AIV",145
281,"AVB,ESS,BXP,KIM",145
282,"AVB,ESS,UDR,BXP",145
283,"AVB,UDR,AIV,REG",145
284,"AVB,EQR,UDR,BXP",145
285,"AVB,SLG,BXP,KIM",145
286,"AVB,SLG,ESS,AIV",145
287,"ES,PNW,XEL,DTE",145
288,"ES,PNW,LNT,WEC",145
289,"ES,LNT,AEP,DTE",145
290,"ES,LNT,AEP,AEE",145
291,"ES,AEP,DTE,WEC",145
292,"ES,AEE,CMS,DTE",145
293,"LNT,SCG,AEE,PPL",145
294,"LNT,AEP,CMS,WEC",145
295,"LNT,AEE,WEC,ED",145
296,"BBT,KEY,HBAN,STI",145
297,"PNC,BBT,USB,HBAN",144
298,"PNC,JPM,WFC,STI",144
299,"ESS,MAA,UDR,AIV",144
300,"ESS,FRT,BXP,REG",144
301,"ESS,FRT,KIM,REG",144
302,"ESS,EQR,KIM,REG",144
303,"ESS,EQR,KIM,AIV",144
304,"NEE,SCG,AEE,DTE",144
305,"NEE,SCG,AEE,WEC",144
306,"NEE,LNT,AEE,WEC",144
307,"XEL,D,CMS,DTE",144
308,"XEL,DTE,WEC,ED",144
309,"XEL,SCG,PPL,WEC",144
310,"XEL,NEE,DTE,WEC",144
311,"XEL,NEE,LNT,AEE",144
312,"XEL,LNT,CMS,PPL",144
313,"XEL,LNT,SO,DTE",144
314,"XEL,LNT,AEE,D",144
315,"PNW,DTE,WEC,ED",144
316,"PNW,SCG,AEP,CMS",144
317,"PNW,XEL,EIX,DTE",144
318,"PNW,XEL,SCG,PPL",144
319,"PNW,XEL,CMS,WEC",144
320,"PNW,LNT,WEC,ED",144
321,"PNW,AEP,PPL,DTE",144
322,"PNW,AEE,WEC,ED",144
323,"SLG,ESS,EQR,BXP",144
324,"SLG,ESS,EQR,REG",144
325,"SLG,ESS,EQR,KIM",144
326,"SLG,ESS,EQR,AIV",144
327,"FITB,BBT,HBAN,STI",144
328,"AVB,ESS,FRT,AIV",144
329,"AVB,UDR,KIM,REG",144
330,"AVB,UDR,KIM,AIV",144
331,"AVB,FRT,BXP,REG",144
332,"AVB,EQR,MAA,AIV",144
333,"AVB,EQR,FRT,REG",144
334,"AVB,EQR,FRT,UDR",144
335,"AVB,EQR,FRT,AIV",144
336,"AVB,SLG,ESS,FRT",144
337,"AVB,SLG,FRT,REG",144
338,"ES,PNW,XEL,WEC",144
339,"ES,PNW,XEL,AEP",144
340,"ES,PNW,XEL,AEE",144
341,"ES,PNW,LNT,AEP",144
342,"ES,PNW,AEE,WEC",144
343,"ES,XEL,SCG,CMS",144
344,"ES,XEL,LNT,CMS",144
345,"ES,XEL,LNT,AEP",144
346,"ES,LNT,SCG,DTE",144
347,"ES,LNT,SCG,AEE",144
348,"ES,LNT,AEP,WEC",144
349,"SO,DTE,WEC,ED",144
350,"EIX,CMS,DTE,WEC",144
351,"LNT,D,CMS,DTE",144
352,"LNT,SCG,PPL,DTE",144
353,"LNT,SCG,PPL,WEC",144
354,"LNT,AEP,PPL,WEC",144
355,"LNT,AEP,AEE,PPL",144
356,"LNT,AEP,AEE,CMS",144
357,"LNT,AEE,DUK,DTE",144
358,"LNT,AEE,SO,WEC",144
359,"AEE,AWK,DTE,WEC",144
360,"VNO,BXP,KIM,REG",144
361,"TRV,CB,MMC,CINF",144
362,"BBT,HBAN,WFC,STI",144
363,"BBT,USB,HBAN,STI",144
364,"LNT,DTE,WEC",181
365,"LNT,AEE,DTE",180
366,"AEE,DTE,WEC",179
367,"XEL,LNT,DTE",178
368,"AVB,ESS,AIV",178
369,"XEL,DTE,WEC",176
370,"XEL,AEE,DTE",176
371,"AVB,EQR,AIV",176
372,"LNT,AEE,WEC",176
373,"EQR,UDR,AIV",175
374,"PNW,LNT,DTE",175
375,"AVB,ESS,UDR",175
376,"AVB,ESS,EQR",175
377,"ESS,EQR,AIV",174
378,"PNW,DTE,WEC",174
379,"PNW,XEL,DTE",174
380,"SLG,KIM,REG",174
381,"SCG,DTE,WEC",174
382,"SCG,AEE,DTE",174
383,"ESS,EQR,UDR",173
384,"AEP,DTE,WEC",173
385,"XEL,LNT,AEE",173
386,"XEL,AEP,DTE",173
387,"SCG,AEE,WEC",173
388,"ESS,UDR,AIV",172
389,"XEL,CMS,DTE",172
390,"PNW,LNT,WEC",172
391,"PNW,LNT,AEE",172
392,"AVB,UDR,AIV",172
393,"AVB,EQR,UDR",172
394,"LNT,SCG,AEE",172
395,"LNT,CMS,DTE",172
396,"AEP,AEE,DTE",171
397,"FRT,KIM,REG",171
398,"XEL,SCG,DTE",171
399,"PNW,XEL,LNT",171
400,"BXP,KIM,REG",171
401,"LNT,SCG,DTE",171
402,"LNT,AEP,DTE",171
403,"TRV,CB,CINF",171
404,"PNC,WFC,STI",170
405,"PNC,USB,STI",170
406,"XEL,PPL,DTE",170
407,"PNW,XEL,AEP",170
408,"PNW,AEE,DTE",170
409,"AVB,ESS,BXP",170
410,"AVB,KIM,REG",170
411,"CMS,DTE,WEC",170
412,"AEP,AEE,WEC",169
413,"XEL,SCG,AEE",169
414,"XEL,LNT,PPL",169
415,"XEL,LNT,WEC",169
416,"XEL,AEE,WEC",169
417,"PNW,SCG,AEE",169
418,"PNW,AEP,DTE",169
419,"PNW,AEE,WEC",169
420,"AVB,SLG,ESS",169
421,"LNT,AEP,AEE",169
422,"PNC,HBAN,STI",168
423,"PNC,USB,WFC",168
424,"XEL,AEP,AEE",168
425,"PNW,SCG,DTE",168
426,"PNW,SCG,WEC",168
427,"PNW,XEL,AEE",168
428,"PNW,CMS,DTE",168
429,"PNW,LNT,AEP",168
430,"EIX,DTE,WEC",168
431,"LNT,D,DTE",168
432,"LNT,SCG,WEC",168
433,"LNT,PPL,DTE",168
434,"ESS,KIM,REG",167
435,"FRT,BXP,REG",167
436,"XEL,LNT,AEP",167
437,"XEL,AEP,PPL",167
438,"PNW,XEL,SCG",167
439,"PNW,XEL,PPL",167
440,"PNW,XEL,CMS",167
441,"PNW,XEL,WEC",167
442,"PNW,LNT,SCG",167
443,"PNW,LNT,CMS",167
444,"PNW,AEP,WEC",167
445,"PNW,AEP,AEE",167
446,"SLG,BXP,REG",167
447,"SLG,ESS,BXP",167
448,"SLG,VNO,REG",167
449,"PPL,DTE,WEC",167
450,"SCG,CMS,DTE",167
451,"AVB,ESS,REG",167
452,"AVB,ESS,KIM",167
453,"ES,DTE,WEC",167
454,"ES,XEL,DTE",167
455,"ES,LNT,DTE",167
456,"LNT,AEP,WEC",167
457,"AEE,CMS,DTE",167
458,"PNC,BBT,STI",166
459,"XEL,LNT,CMS",166
460,"XEL,AEP,WEC",166
461,"SLG,VNO,BXP",166
462,"FITB,BBT,KEY",166
463,"AVB,ESS,MAA",166
464,"ES,LNT,AEE",166
465,"SO,WEC,ED",166
466,"USB,JPM,WFC",166
467,"LNT,PPL,WEC",166
468,"LNT,AEE,CMS",166
469,"BBT,WFC,STI",166
470,"BBT,USB,WFC",166
471,"AEP,CMS,DTE",165
472,"SRE,LNT,DTE",165
473,"XEL,EIX,DTE",165
474,"XEL,SCG,WEC",165
475,"XEL,PPL,WEC",165
476,"XEL,LNT,SCG",165
477,"XEL,AEE,PPL",165
478,"PNW,SCG,CMS",165
479,"PNW,LNT,PPL",165
480,"DTE,WEC,ED",165
481,"FITB,BBT,HBAN",165
482,"SCG,AEP,AEE",165
483,"SCG,AEE,CMS",165
484,"AVB,ESS,FRT",165
485,"AVB,KIM,AIV",165
486,"ES,AEE,DTE",165
487,"LNT,CMS,WEC",165
488,"LNT,AEE,PPL",165
489,"AEE,EIX,DTE",165
490,"VNO,KIM,REG",165
491,"BBT,HBAN,STI",165
492,"BBT,KEY,STI",165
493,"PNC,KEY,STI",164
494,"PNC,USB,HBAN",164
495,"ESS,EQR,BXP",164
496,"NEE,LNT,DTE",164
497,"EQR,KIM,REG",164
498,"XEL,D,DTE",164
499,"XEL,SCG,CMS",164
500,"XEL,AEP,CMS",164
501,"PNW,SCG,AEP",164
502,"PNW,AEP,CMS",164
503,"TMK,MMC,CINF",164
504,"BAC,JPM,C",164
505,"SLG,BXP,KIM",164
506,"SLG,ESS,EQR",164
507,"SCG,AEP,DTE",164
508,"SCG,AEP,WEC",164
509,"AVB,FRT,REG",164
510,"ES,SCG,AEE",164
511,"ES,XEL,LNT",164
512,"ES,XEL,AEE",164
513,"ES,AEE,WEC",164
514,"BK,NTRS,WFC",164
515,"AEE,D,DTE",164
516,"TRV,MMC,CINF",164
517,"BBT,USB,STI",164
518,"PNC,BBT,WFC",163
519,"PNC,BBT,USB",163
520,"ESS,BXP,REG",163
521,"NEE,DTE,WEC",163
522,"SRE,DTE,WEC",163
523,"KIM,AIV,REG",163
524,"XEL,SCG,AEP",163
525,"XEL,CMS,PPL",163
526,"XEL,AEE,CMS",163
527,"PNW,CMS,WEC",163
528,"TMK,MMC,BRK.B",163
529,"SLG,ESS,REG",163
530,"SLG,ESS,KIM",163
531,"FITB,KEY,HBAN",163
532,"FITB,BBT,STI",163
533,"SCG,CMS,WEC",163
534,"AVB,MAA,AIV",163
535,"AVB,BXP,REG",163
536,"AVB,EQR,REG",163
537,"AVB,SLG,BXP",163
538,"AVB,SLG,REG",163
539,"ES,PNW,LNT",163
540,"ES,CMS,DTE",163
541,"ES,LNT,WEC",163
542,"SO,DTE,WEC",163
543,"USB,WFC,STI",163
544,"USB,JPM,C",163
545,"AMP,JPM,WFC",163
546,"LNT,EIX,DTE",163
547,"LNT,SCG,CMS",163
548,"LNT,AEE,D",163
549,"D,DTE,WEC",163
